Year,County,PDI,PDIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2006,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,067","12,574",323.4,320.2,,,,,,
2007,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,064","12,905",314.9,312.2,,,,,,
2008,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,294","13,574",316.3,314.2,,,,,,
2009,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,162","13,817",301.2,298.2,,,,,,
2010,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,186","13,856",302.1,299.1,,,,,,
2011,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,235","13,767",307.6,302.5,,,,,,
2012,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,213","13,659",308.4,304.3,,,,,,
2013,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,112","12,556",327.5,318.7,,,,,,
2014,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,244","12,117",350.3,341.6,,,,,,
2015,_STATEWIDE,17,Perforated Appendix (Age 1-17),"3,337","8,447",395.1,386.3,,,,,,
2005,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,508","9,252,424",37.9,37,,,,,,
2006,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,070","9,214,327",33.3,32.5,,,,,,
2007,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,093","9,187,043",33.7,32.7,,,,,,
2008,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,343","9,204,176",36.3,35.1,,,,,,
2009,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,388","9,203,032",36.8,35.6,,,,,,
2010,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"3,098","9,221,974",33.6,32.6,,,,,,
2011,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"2,946","9,168,119",32.1,31.1,,,,,,
2012,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"2,758","9,082,980",30.4,29.4,,,,,,
2013,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"2,534","9,049,503",28,27.1,,,,,,
2014,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"2,404","9,124,761",26.3,25.4,,,,,,
2015,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),"1,579","6,718,265",23.5,22.7,,,,,,
2016,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),,,,,"1,854","8,964,200",20.7,20.6,,
2017,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),,,,,"1,497","8,926,716",16.8,16.7,,
2018,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),,,,,"1,345","8,853,222",15.2,15.2,,
2019,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),,,,,"1,318","8,762,576",15.0,15.1,,
2020,_STATEWIDE,18,Urinary Tract Infection (Age 3 months-17 years),,,,,940,"8,675,715",10.8,10.9,,
2005,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"9,121","6,339,207",143.9,143.3,,,,,,
2006,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"8,442","6,320,202",133.6,133.1,,,,,,
2007,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,888","6,288,928",125.4,125,,,,,,
2008,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,605","6,286,480",121,120.4,,,,,,
2009,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"8,463","6,292,454",134.5,133.5,,,,,,
2010,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,631","6,313,556",120.9,119.7,,,,,,
2011,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,328","6,252,287",117.2,115.8,,,,,,
2012,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,714","6,179,814",124.8,122.9,,,,,,
2013,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,378","6,154,908",119.9,117.8,,,,,,
2014,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"7,451","6,217,545",119.8,118.9,,,,,,
2015,_STATEWIDE,90,PDI Overall Composite (Age 6-17),"5,405","4,548,086",118.8,116.4,,,,,,
2016,_STATEWIDE,90,PDI Overall Composite (Age 6-17),,,,,"6,595","6,094,263",108.2,108.7,,
2017,_STATEWIDE,90,PDI Overall Composite (Age 6-17),,,,,"4,983","6,079,937",82.0,82.4,,
2018,_STATEWIDE,90,PDI Overall Composite (Age 6-17),,,,,"4,446","6,051,334",73.5,73.8,,
2019,_STATEWIDE,90,PDI Overall Composite (Age 6-17),,,,,"4,387","6,014,463",72.9,73.2,,
2020,_STATEWIDE,90,PDI Overall Composite (Age 6-17),,,,,"2,635","5,987,134",44.0,44.1,,
2005,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"3,593","6,339,207",56.7,56.2,,,,,,
2006,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"3,094","6,320,202",49,48.4,,,,,,
2007,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,897","6,288,928",46.1,45.4,,,,,,
2008,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,875","6,286,480",45.7,44.9,,,,,,
2009,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,845","6,292,454",45.2,44.2,,,,,,
2010,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,527","6,313,556",40,39.1,,,,,,
2011,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,570","6,252,287",41.1,40.1,,,,,,
2012,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,418","6,179,814",39.1,38.2,,,,,,
2013,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,628","6,154,908",42.7,41.7,,,,,,
2014,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"2,251","6,217,545",36.2,35.3,,,,,,
2015,_STATEWIDE,91,PDI Acute Composite (Age 6-17),"1,810","4,548,086",39.8,38.8,,,,,,
2016,_STATEWIDE,91,PDI Acute Composite (Age 6-17),,,,,"2,053","6,094,263",33.7,33.2,,
2017,_STATEWIDE,91,PDI Acute Composite (Age 6-17),,,,,"1,781","6,079,937",29.3,28.9,,
2018,_STATEWIDE,91,PDI Acute Composite (Age 6-17),,,,,"1,504","6,051,334",24.9,24.5,,
2019,_STATEWIDE,91,PDI Acute Composite (Age 6-17),,,,,"1,418","6,014,463",23.6,23.3,,
2020,_STATEWIDE,91,PDI Acute Composite (Age 6-17),,,,,861,"5,987,134",14.4,14.2,,
2005,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,528","6,339,207",87.2,87,,,,,,
2006,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,348","6,320,202",84.6,84.6,,,,,,
2007,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"4,991","6,288,928",79.4,79.5,,,,,,
2008,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"4,730","6,286,480",75.2,75.3,,,,,,
2009,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,618","6,292,454",89.3,89.1,,,,,,
2010,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,104","6,313,556",80.8,80.5,,,,,,
2011,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"4,758","6,252,287",76.1,75.5,,,,,,
2012,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,296","6,179,814",85.7,84.7,,,,,,
2013,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"4,750","6,154,908",77.2,76,,,,,,
2014,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"5,200","6,217,545",83.6,83.5,,,,,,
2015,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),"3,595","4,548,086",79,77.5,,,,,,
2016,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),,,,,"4,542","6,094,263",74.5,75.4,,
2017,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),,,,,"3,202","6,079,937",52.7,53.2,,
2018,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),,,,,"2,942","6,051,334",48.6,49.1,,
2019,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),,,,,"2,969","6,014,463",49.4,49.8,,
2020,_STATEWIDE,92,PDI Chronic Composite (Age 6-17),,,,,"1,774","5,987,134",29.6,29.9,,
2005,Alameda,9,Low Birth Weight (<2500 grams),"1,313","20,963",62.6,62.7,,,,,,
2006,Alameda,9,Low Birth Weight (<2500 grams),"1,318","21,158",62.3,62.3,,,,,,
2007,Alameda,9,Low Birth Weight (<2500 grams),"1,270","21,569",58.9,58.9,,,,,,
2008,Alameda,9,Low Birth Weight (<2500 grams),"1,272","20,994",60.6,60.6,,,,,,
2009,Alameda,9,Low Birth Weight (<2500 grams),"1,251","20,351",61.5,61.5,,,,,,
2010,Alameda,9,Low Birth Weight (<2500 grams),"1,121","19,253",58.2,58.2,,,,,,
2011,Alameda,9,Low Birth Weight (<2500 grams),"1,272","18,921",67.2,67.3,,,,,,
2012,Alameda,9,Low Birth Weight (<2500 grams),"1,324","19,448",68.1,68.1,,,,,,
2013,Alameda,9,Low Birth Weight (<2500 grams),"1,271","19,145",66.4,66.4,,,,,,
2014,Alameda,9,Low Birth Weight (<2500 grams),"1,194","19,365",61.7,61.7,,,,,,
2015,Alameda,9,Low Birth Weight (<2500 grams),953,"14,313",66.6,66.6,,,,,,
2005,Alameda,14,Asthma (Age 2-17),682,"299,880",227.4,221.1,,,,,,
2006,Alameda,14,Asthma (Age 2-17),626,"298,616",209.6,204.4,,,,,,
2007,Alameda,14,Asthma (Age 2-17),594,"298,633",198.9,193.8,,,,,,
2008,Alameda,14,Asthma (Age 2-17),512,"301,417",169.9,165.1,,,,,,
2009,Alameda,14,Asthma (Age 2-17),574,"304,063",188.8,183.3,,,,,,
2010,Alameda,14,Asthma (Age 2-17),567,"305,024",185.9,180.2,,,,,,
2011,Alameda,14,Asthma (Age 2-17),504,"303,804",165.9,159.7,,,,,,
2012,Alameda,14,Asthma (Age 2-17),614,"304,051",201.9,194.1,,,,,,
2013,Alameda,14,Asthma (Age 2-17),541,"305,544",177.1,170.2,,,,,,
2014,Alameda,14,Asthma (Age 2-17),563,"299,476",188,181.9,,,,,,
2015,Alameda,14,Asthma (Age 2-17),416,"230,121",180.8,172.9,,,,,,
2016,Alameda,14,Asthma (Age 2-17),,,,,373,"306,647",121.6,158.5,,
2017,Alameda,14,Asthma (Age 2-17),,,,,353,"306,014",115.4,150.8,,
2018,Alameda,14,Asthma (Age 2-17),,,,,229,"304,082",75.3,98.9,,
2019,Alameda,14,Asthma (Age 2-17),,,,,215,"301,414",71.3,93.9,,
2020,Alameda,14,Asthma (Age 2-17),,,,,72,"297,929",24.2,31.9,,
2005,Alameda,15,Diabetes Short-term Complications (Age 6-17),63,"223,087",28.2,27.6,,,,,,
2006,Alameda,15,Diabetes Short-term Complications (Age 6-17),53,"222,633",23.8,23.2,,,,,,
2007,Alameda,15,Diabetes Short-term Complications (Age 6-17),40,"222,473",18,17.5,,,,,,
2008,Alameda,15,Diabetes Short-term Complications (Age 6-17),45,"224,396",20.1,19.6,,,,,,
2009,Alameda,15,Diabetes Short-term Complications (Age 6-17),49,"226,709",21.6,21.3,,,,,,
2010,Alameda,15,Diabetes Short-term Complications (Age 6-17),51,"227,553",22.4,22.2,,,,,,
2011,Alameda,15,Diabetes Short-term Complications (Age 6-17),33,"225,834",14.6,14.5,,,,,,
2012,Alameda,15,Diabetes Short-term Complications (Age 6-17),41,"226,204",18.1,18.1,,,,,,
2013,Alameda,15,Diabetes Short-term Complications (Age 6-17),47,"227,728",20.6,20.7,,,,,,
2014,Alameda,15,Diabetes Short-term Complications (Age 6-17),64,"222,807",28.7,28.3,,,,,,
2015,Alameda,15,Diabetes Short-term Complications (Age 6-17),54,"171,194",31.5,31.8,,,,,,
2016,Alameda,15,Diabetes Short-term Complications (Age 6-17),,,,,58,"228,022",25.4,30.0,,
2017,Alameda,15,Diabetes Short-term Complications (Age 6-17),,,,,31,"227,884",13.6,16.0,,
2018,Alameda,15,Diabetes Short-term Complications (Age 6-17),,,,,39,"226,998",17.2,20.2,,
2019,Alameda,15,Diabetes Short-term Complications (Age 6-17),,,,,44,"225,596",19.5,22.9,,
2020,Alameda,15,Diabetes Short-term Complications (Age 6-17),,,,,39,"223,535",17.4,20.4,,
2005,Alameda,16,Gastroenteritis (Age 3 months-17 years),482,"334,527",144.1,134.9,,,,,,
2006,Alameda,16,Gastroenteritis (Age 3 months-17 years),383,"332,780",115.1,108.2,,,,,,
2007,Alameda,16,Gastroenteritis (Age 3 months-17 years),396,"332,853",119,111.7,,,,,,
2008,Alameda,16,Gastroenteritis (Age 3 months-17 years),239,"335,869",71.2,66.8,,,,,,
2009,Alameda,16,Gastroenteritis (Age 3 months-17 years),194,"338,353",57.3,54,,,,,,
2010,Alameda,16,Gastroenteritis (Age 3 months-17 years),127,"339,165",37.4,35.4,,,,,,
2011,Alameda,16,Gastroenteritis (Age 3 months-17 years),148,"338,157",43.8,41.1,,,,,,
2012,Alameda,16,Gastroenteritis (Age 3 months-17 years),145,"338,159",42.9,40.4,,,,,,
2013,Alameda,16,Gastroenteritis (Age 3 months-17 years),169,"339,455",49.8,47.1,,,,,,
2014,Alameda,16,Gastroenteritis (Age 3 months-17 years),141,"333,447",42.3,39.7,,,,,,
2015,Alameda,16,Gastroenteritis (Age 3 months-17 years),110,"255,762",43,40.6,,,,,,
2016,Alameda,16,Gastroenteritis (Age 3 months-17 years),,,,,121,"341,015",35.5,38.9,,
2017,Alameda,16,Gastroenteritis (Age 3 months-17 years),,,,,136,"340,247",40.0,43.9,,
2018,Alameda,16,Gastroenteritis (Age 3 months-17 years),,,,,139,"337,840",41.1,45.4,,
2019,Alameda,16,Gastroenteritis (Age 3 months-17 years),,,,,116,"334,499",34.7,38.5,,
2020,Alameda,16,Gastroenteritis (Age 3 months-17 years),,,,,55,"330,341",16.6,18.6,,
2005,Alameda,17,Perforated Appendix (Age 1-17),135,342,394.7,384.3,,,,,,
2006,Alameda,17,Perforated Appendix (Age 1-17),104,359,289.7,291.1,,,,,,
2007,Alameda,17,Perforated Appendix (Age 1-17),126,346,364.2,372.5,,,,,,
2008,Alameda,17,Perforated Appendix (Age 1-17),150,385,389.6,376.1,,,,,,
2009,Alameda,17,Perforated Appendix (Age 1-17),133,378,351.9,354.3,,,,,,
2010,Alameda,17,Perforated Appendix (Age 1-17),105,364,288.5,289.7,,,,,,
2011,Alameda,17,Perforated Appendix (Age 1-17),139,386,360.1,364.1,,,,,,
2012,Alameda,17,Perforated Appendix (Age 1-17),131,356,368,358.7,,,,,,
2013,Alameda,17,Perforated Appendix (Age 1-17),150,364,412.1,398.9,,,,,,
2014,Alameda,17,Perforated Appendix (Age 1-17),131,299,438.1,424.1,,,,,,
2015,Alameda,17,Perforated Appendix (Age 1-17),107,209,512,483.6,,,,,,
2005,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),170,"334,527",50.8,48.2,,,,,,
2006,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),148,"332,780",44.5,42.2,,,,,,
2007,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),145,"332,853",43.6,41.3,,,,,,
2008,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),127,"335,869",37.8,35.8,,,,,,
2009,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),119,"338,353",35.2,33.4,,,,,,
2010,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),110,"339,165",32.4,30.9,,,,,,
2011,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),104,"338,157",30.8,29.2,,,,,,
2012,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),95,"338,159",28.1,26.8,,,,,,
2013,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),94,"339,455",27.7,26.5,,,,,,
2014,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),86,"333,447",25.8,24.4,,,,,,
2015,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),56,"255,762",21.9,20.9,,,,,,
2016,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),,,,,59,"341,015",17.3,19.7,,
2017,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),,,,,53,"340,247",15.6,17.7,,
2018,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),,,,,56,"337,840",16.6,18.9,,
2019,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),,,,,49,"334,499",14.6,16.7,,
2020,Alameda,18,Urinary Tract Infection (Age 3 months-17 years),,,,,38,"330,341",11.5,13.2,,
2005,Alameda,90,PDI Overall Composite (Age 6-17),508,"223,087",227.7,226,,,,,,
2006,Alameda,90,PDI Overall Composite (Age 6-17),443,"222,633",199,197.4,,,,,,
2007,Alameda,90,PDI Overall Composite (Age 6-17),416,"222,473",187,185.4,,,,,,
2008,Alameda,90,PDI Overall Composite (Age 6-17),368,"224,396",164,162.2,,,,,,
2009,Alameda,90,PDI Overall Composite (Age 6-17),403,"226,709",177.8,175.2,,,,,,
2010,Alameda,90,PDI Overall Composite (Age 6-17),396,"227,553",174,171,,,,,,
2011,Alameda,90,PDI Overall Composite (Age 6-17),323,"225,834",143,140.2,,,,,,
2012,Alameda,90,PDI Overall Composite (Age 6-17),359,"226,204",158.7,155.2,,,,,,
2013,Alameda,90,PDI Overall Composite (Age 6-17),358,"227,728",157.2,153.4,,,,,,
2014,Alameda,90,PDI Overall Composite (Age 6-17),398,"222,807",178.6,175.7,,,,,,
2015,Alameda,90,PDI Overall Composite (Age 6-17),290,"171,194",169.4,164.9,,,,,,
2016,Alameda,90,PDI Overall Composite (Age 6-17),,,,,307,"228,022",134.6,170.8,,
2017,Alameda,90,PDI Overall Composite (Age 6-17),,,,,294,"227,884",129.0,164.0,,
2018,Alameda,90,PDI Overall Composite (Age 6-17),,,,,229,"226,998",100.9,128.3,,
2019,Alameda,90,PDI Overall Composite (Age 6-17),,,,,223,"225,596",98.8,125.7,,
2020,Alameda,90,PDI Overall Composite (Age 6-17),,,,,111,"223,535",49.7,63.2,,
2005,Alameda,91,PDI Acute Composite (Age 6-17),137,"223,087",61.4,60.6,,,,,,
2006,Alameda,91,PDI Acute Composite (Age 6-17),110,"222,633",49.4,48.5,,,,,,
2007,Alameda,91,PDI Acute Composite (Age 6-17),116,"222,473",52.1,51,,,,,,
2008,Alameda,91,PDI Acute Composite (Age 6-17),96,"224,396",42.8,41.7,,,,,,
2009,Alameda,91,PDI Acute Composite (Age 6-17),72,"226,709",31.8,30.8,,,,,,
2010,Alameda,91,PDI Acute Composite (Age 6-17),73,"227,553",32.1,31.1,,,,,,
2011,Alameda,91,PDI Acute Composite (Age 6-17),74,"225,834",32.8,31.8,,,,,,
2012,Alameda,91,PDI Acute Composite (Age 6-17),67,"226,204",29.6,28.8,,,,,,
2013,Alameda,91,PDI Acute Composite (Age 6-17),98,"227,728",43,41.8,,,,,,
2014,Alameda,91,PDI Acute Composite (Age 6-17),87,"222,807",39,37.9,,,,,,
2015,Alameda,91,PDI Acute Composite (Age 6-17),69,"171,194",40.3,39.3,,,,,,
2016,Alameda,91,PDI Acute Composite (Age 6-17),,,,,92,"228,022",40.3,47.2,,
2017,Alameda,91,PDI Acute Composite (Age 6-17),,,,,86,"227,884",37.7,44.2,,
2018,Alameda,91,PDI Acute Composite (Age 6-17),,,,,81,"226,998",35.7,41.9,,
2019,Alameda,91,PDI Acute Composite (Age 6-17),,,,,76,"225,596",33.7,39.5,,
2020,Alameda,91,PDI Acute Composite (Age 6-17),,,,,38,"223,535",17.0,19.9,,
2005,Alameda,92,PDI Chronic Composite (Age 6-17),371,"223,087",166.3,165.5,,,,,,
2006,Alameda,92,PDI Chronic Composite (Age 6-17),333,"222,633",149.6,148.9,,,,,,
2007,Alameda,92,PDI Chronic Composite (Age 6-17),300,"222,473",134.8,134.4,,,,,,
2008,Alameda,92,PDI Chronic Composite (Age 6-17),272,"224,396",121.2,120.5,,,,,,
2009,Alameda,92,PDI Chronic Composite (Age 6-17),331,"226,709",146,144.7,,,,,,
2010,Alameda,92,PDI Chronic Composite (Age 6-17),323,"227,553",141.9,140.2,,,,,,
2011,Alameda,92,PDI Chronic Composite (Age 6-17),249,"225,834",110.3,108.4,,,,,,
2012,Alameda,92,PDI Chronic Composite (Age 6-17),292,"226,204",129.1,126.5,,,,,,
2013,Alameda,92,PDI Chronic Composite (Age 6-17),260,"227,728",114.2,111.6,,,,,,
2014,Alameda,92,PDI Chronic Composite (Age 6-17),311,"222,807",139.6,138.1,,,,,,
2015,Alameda,92,PDI Chronic Composite (Age 6-17),221,"171,194",129.1,125.6,,,,,,
