Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2018,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,1452,773434,187.7,253.7066312,,
2019,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,1453,777973,186.8,249.9042099,,
2020,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,849,783249,108.4,143.9945407,,
2005,Alameda,7,Hypertension,249,1102068,22.6,25.0,,,,,,
2006,Alameda,7,Hypertension,253,1106823,22.9,25.2,,,,,,
2007,Alameda,7,Hypertension,294,1117973,26.3,28.9,,,,,,
2008,Alameda,7,Hypertension,275,1136417,24.2,26.5,,,,,,
2009,Alameda,7,Hypertension,279,1155287,24.1,26.3,,,,,,
2010,Alameda,7,Hypertension,315,1169910,26.9,29.2,,,,,,
2011,Alameda,7,Hypertension,296,1186810,24.9,26.8,,,,,,
2012,Alameda,7,Hypertension,278,1173980,23.7,24.7,,,,,,
2013,Alameda,7,Hypertension,251,1197759,21.0,21.8,,,,,,
2014,Alameda,7,Hypertension,242,1192027,20.3,21.2,,,,,,
2015,Alameda,7,Hypertension,185,923607,20.0,20.4,,,,,,
2016,Alameda,7,Hypertension,,,,,273,1304840,20.9,30.83626371,,
2017,Alameda,7,Hypertension,,,,,349,1314687,26.5,38.88603523,,
2018,Alameda,7,Hypertension,,,,,396,1323933,29.9,43.51364107,,
2019,Alameda,7,Hypertension,,,,,391,1329186,29.4,42.48663931,,
2020,Alameda,7,Hypertension,,,,,329,1327352,24.8,35.44423134,,
2005,Alameda,8,Heart Failure,4433,1102068,402.2,491.1,,,,,,
2006,Alameda,8,Heart Failure,4157,1106823,375.6,454.5,,,,,,
2007,Alameda,8,Heart Failure,3844,1117973,343.8,410.8,,,,,,
2008,Alameda,8,Heart Failure,3468,1136417,305.2,362.7,,,,,,
2009,Alameda,8,Heart Failure,3456,1155287,299.1,351.8,,,,,,
2010,Alameda,8,Heart Failure,3494,1169910,298.7,346.5,,,,,,
2011,Alameda,8,Heart Failure,3553,1186810,299.4,341.8,,,,,,
2012,Alameda,8,Heart Failure,3385,1173980,288.3,318.1,,,,,,
2013,Alameda,8,Heart Failure,3419,1197759,285.4,312.3,,,,,,
2014,Alameda,8,Heart Failure,3200,1192027,268.5,294.5,,,,,,
2015,Alameda,8,Heart Failure,2583,923607,279.7,296.9,,,,,,
2016,Alameda,8,Heart Failure,,,,,3557,1304840,272.6,359.252351,,
2017,Alameda,8,Heart Failure,,,,,3550,1314687,270.0,351.012,,
2018,Alameda,8,Heart Failure,,,,,3747,1323933,283.0,362.5021635,,
2019,Alameda,8,Heart Failure,,,,,3722,1329186,280.0,352.870829,,
2020,Alameda,8,Heart Failure,,,,,3343,1327352,251.9,311.866381,,
2005,Alameda,10,Dehydration,1340,1102068,121.6,142.8,,,,,,
2006,Alameda,10,Dehydration,1408,1106823,127.2,148.4,,,,,,
2007,Alameda,10,Dehydration,1534,1117973,137.2,158.5,,,,,,
2008,Alameda,10,Dehydration,1298,1136417,114.2,131.4,,,,,,
2009,Alameda,10,Dehydration,973,1155287,84.2,96.1,,,,,,
2010,Alameda,10,Dehydration,1086,1169910,92.8,104.9,,,,,,
2011,Alameda,10,Dehydration,1068,1186810,90.0,100.4,,,,,,
2012,Alameda,10,Dehydration,1006,1173980,85.7,93.0,,,,,,
2013,Alameda,10,Dehydration,840,1197759,70.1,75.6,,,,,,
2014,Alameda,10,Dehydration,752,1192027,63.1,68.2,,,,,,
2015,Alameda,10,Dehydration,611,923607,66.2,69.6,,,,,,
2005,Alameda,11,Community-Acquired Pneumonia,2889,1102068,262.1,309.6,,,,,,
2006,Alameda,11,Community-Acquired Pneumonia,2643,1106823,238.8,280.1,,,,,,
2007,Alameda,11,Community-Acquired Pneumonia,2708,1117973,242.2,281.2,,,,,,
2008,Alameda,11,Community-Acquired Pneumonia,2482,1136417,218.4,252.5,,,,,,
2009,Alameda,11,Community-Acquired Pneumonia,2293,1155287,198.5,227.5,,,,,,
2010,Alameda,11,Community-Acquired Pneumonia,2203,1169910,188.3,213.5,,,,,,
2011,Alameda,11,Community-Acquired Pneumonia,2005,1186810,168.9,189.1,,,,,,
2012,Alameda,11,Community-Acquired Pneumonia,1703,1173980,145.1,157.5,,,,,,
2013,Alameda,11,Community-Acquired Pneumonia,1643,1197759,137.2,147.9,,,,,,
2014,Alameda,11,Community-Acquired Pneumonia,1386,1192027,116.3,125.8,,,,,,
2015,Alameda,11,Community-Acquired Pneumonia,1253,923607,135.7,142.5,,,,,,
2016,Alameda,11,Community-Acquired Pneumonia,,,,,1327,1304840,101.7,141.8921656,,
2017,Alameda,11,Community-Acquired Pneumonia,,,,,1036,1314687,78.8,108.5767202,,
2018,Alameda,11,Community-Acquired Pneumonia,,,,,901,1323933,68.1,92.51471293,,
2019,Alameda,11,Community-Acquired Pneumonia,,,,,932,1329186,70.1,93.91101212,,
2020,Alameda,11,Community-Acquired Pneumonia,,,,,626,1327352,47.2,62.1661008,,
2005,Alameda,12,Urinary Tract Infection,1431,1102068,129.8,150.3,,,,,,
2006,Alameda,12,Urinary Tract Infection,1465,1106823,132.4,152.4,,,,,,
2007,Alameda,12,Urinary Tract Infection,1517,1117973,135.7,155.0,,,,,,
2008,Alameda,12,Urinary Tract Infection,1506,1136417,132.5,151.1,,,,,,
2009,Alameda,12,Urinary Tract Infection,1667,1155287,144.3,163.5,,,,,,
2010,Alameda,12,Urinary Tract Infection,1507,1169910,128.8,144.8,,,,,,
2011,Alameda,12,Urinary Tract Infection,1473,1186810,124.1,137.9,,,,,,
2012,Alameda,12,Urinary Tract Infection,1334,1173980,113.6,123.6,,,,,,
2013,Alameda,12,Urinary Tract Infection,1185,1197759,98.9,107.1,,,,,,
2014,Alameda,12,Urinary Tract Infection,1080,1192027,90.6,98.2,,,,,,
2015,Alameda,12,Urinary Tract Infection,905,923607,98.0,104.0,,,,,,
2016,Alameda,12,Urinary Tract Infection,,,,,1012,1304840,77.6,106.034227,,
2017,Alameda,12,Urinary Tract Infection,,,,,845,1314687,64.3,86.80097589,,
2018,Alameda,12,Urinary Tract Infection,,,,,759,1323933,57.3,76.38619571,,
2019,Alameda,12,Urinary Tract Infection,,,,,744,1329186,56.0,73.40739917,,
2020,Alameda,12,Urinary Tract Infection,,,,,605,1327352,45.6,58.87037533,,
2005,Alameda,13,Angina without Procedure,299,1102068,27.1,31.1,,,,,,
2006,Alameda,13,Angina without Procedure,225,1106823,20.3,23.1,,,,,,
2007,Alameda,13,Angina without Procedure,220,1117973,19.7,22.2,,,,,,
2008,Alameda,13,Angina without Procedure,204,1136417,18.0,20.1,,,,,,
2009,Alameda,13,Angina without Procedure,195,1155287,16.9,18.8,,,,,,
2010,Alameda,13,Angina without Procedure,238,1169910,20.3,22.4,,,,,,
2011,Alameda,13,Angina without Procedure,205,1186810,17.3,18.8,,,,,,
2012,Alameda,13,Angina without Procedure,164,1173980,14.0,14.7,,,,,,
2013,Alameda,13,Angina without Procedure,144,1197759,12.0,12.6,,,,,,
2014,Alameda,13,Angina without Procedure,169,1192027,14.2,14.9,,,,,,
2015,Alameda,13,Angina without Procedure,105,923607,11.4,11.6,,,,,,
2005,Alameda,14,Uncontrolled Diabetes,119,1102068,10.8,11.6,,,,,,
2006,Alameda,14,Uncontrolled Diabetes,96,1106823,8.7,9.3,,,,,,
2007,Alameda,14,Uncontrolled Diabetes,70,1117973,6.3,6.7,,,,,,
2008,Alameda,14,Uncontrolled Diabetes,102,1136417,9.0,9.5,,,,,,
2009,Alameda,14,Uncontrolled Diabetes,130,1155287,11.3,11.9,,,,,,
2010,Alameda,14,Uncontrolled Diabetes,105,1169910,9.0,9.4,,,,,,
2011,Alameda,14,Uncontrolled Diabetes,102,1186810,8.6,9.0,,,,,,
2012,Alameda,14,Uncontrolled Diabetes,81,1173980,6.9,7.1,,,,,,
2013,Alameda,14,Uncontrolled Diabetes,61,1197759,5.1,5.2,,,,,,
2014,Alameda,14,Uncontrolled Diabetes,41,1192027,3.4,3.5,,,,,,
2015,Alameda,14,Uncontrolled Diabetes,33,923607,3.6,3.6,,,,,,
2016,Alameda,14,Uncontrolled Diabetes,,,,,329,1304840,25.2,37.26304942,,
2017,Alameda,14,Uncontrolled Diabetes,,,,,251,1314687,19.1,27.99369046,,
2018,Alameda,14,Uncontrolled Diabetes,,,,,247,1323933,18.7,27.12220713,,
2019,Alameda,14,Uncontrolled Diabetes,,,,,310,1329186,23.3,33.61741508,,
2020,Alameda,14,Uncontrolled Diabetes,,,,,237,1327352,17.9,25.45278525,,
2005,Alameda,15,Asthma in Younger Adults (Age 18-39),216,478745,45.1,44.2,,,,,,
2006,Alameda,15,Asthma in Younger Adults (Age 18-39),191,476939,40.0,39.2,,,,,,
2007,Alameda,15,Asthma in Younger Adults (Age 18-39),169,479051,35.3,34.6,,,,,,
2008,Alameda,15,Asthma in Younger Adults (Age 18-39),192,485534,39.5,38.8,,,,,,
2009,Alameda,15,Asthma in Younger Adults (Age 18-39),187,490215,38.1,37.5,,,,,,
2010,Alameda,15,Asthma in Younger Adults (Age 18-39),200,490704,40.8,40.1,,,,,,
2011,Alameda,15,Asthma in Younger Adults (Age 18-39),206,493017,41.8,41.2,,,,,,
2012,Alameda,15,Asthma in Younger Adults (Age 18-39),172,464820,37.0,35.7,,,,,,
2013,Alameda,15,Asthma in Younger Adults (Age 18-39),140,474184,29.5,28.5,,,,,,
2014,Alameda,15,Asthma in Younger Adults (Age 18-39),146,470235,31.0,30.3,,,,,,
2015,Alameda,15,Asthma in Younger Adults (Age 18-39),112,356530,31.4,30.0,,,,,,
2016,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,104,545690,19.1,21.38085689,,
2017,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,97,548468,17.7,19.79770529,,
2018,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,67,550499,12.2,13.59543719,,
2019,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,77,551213,14.0,15.56447707,,
2020,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,40,544103,7.4,8.166352216,,
2005,Alameda,16,Lower-Extremity Amputation (Diabetes),170,1102068,15.4,18.4,,,,,,
2006,Alameda,16,Lower-Extremity Amputation (Diabetes),151,1106823,13.6,16.1,,,,,,
2007,Alameda,16,Lower-Extremity Amputation (Diabetes),150,1117973,13.4,15.6,,,,,,
2008,Alameda,16,Lower-Extremity Amputation (Diabetes),146,1136417,12.8,14.8,,,,,,
2009,Alameda,16,Lower-Extremity Amputation (Diabetes),148,1155287,12.8,14.6,,,,,,
2010,Alameda,16,Lower-Extremity Amputation (Diabetes),162,1169910,13.8,15.6,,,,,,
2011,Alameda,16,Lower-Extremity Amputation (Diabetes),155,1186810,13.1,14.5,,,,,,
2012,Alameda,16,Lower-Extremity Amputation (Diabetes),149,1173980,12.7,13.6,,,,,,
2013,Alameda,16,Lower-Extremity Amputation (Diabetes),147,1197759,12.3,13.0,,,,,,
2014,Alameda,16,Lower-Extremity Amputation (Diabetes),164,1192027,13.8,14.6,,,,,,
2015,Alameda,16,Lower-Extremity Amputation (Diabetes),120,923607,13.0,13.4,,,,,,
2016,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,259,1304840,19.8,27.38702304,,
2017,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,284,1314687,21.6,29.60435551,,
2018,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,266,1323933,20.1,27.33109225,,
2019,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,288,1329186,21.7,29.28530203,,
2020,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,329,1327352,24.8,33.13385091,,
2005,Alameda,90,Prevention Quality Overall Composite,15252,1102068,1383.9,1612.5,,,,,,
2006,Alameda,90,Prevention Quality Overall Composite,14492,1106823,1309.3,1515.6,,,,,,
2007,Alameda,90,Prevention Quality Overall Composite,14466,1117973,1293.9,1484.0,,,,,,
2008,Alameda,90,Prevention Quality Overall Composite,13994,1136417,1231.4,1406.4,,,,,,
2009,Alameda,90,Prevention Quality Overall Composite,13459,1155287,1165.0,1320.1,,,,,,
2010,Alameda,90,Prevention Quality Overall Composite,13704,1169910,1171.4,1314.0,,,,,,
2011,Alameda,90,Prevention Quality Overall Composite,13168,1186810,1109.5,1230.0,,,,,,
2012,Alameda,90,Prevention Quality Overall Composite,12147,1173980,1034.7,1114.9,,,,,,
2013,Alameda,90,Prevention Quality Overall Composite,11377,1197759,949.9,1016.9,,,,,,
2014,Alameda,90,Prevention Quality Overall Composite,10696,1192027,897.3,963.2,,,,,,
2015,Alameda,90,Prevention Quality Overall Composite,8497,923607,920.0,961.9,,,,,,
2016,Alameda,90,Prevention Quality Overall Composite,,,,,9636,1304840,738.5,1005.238615,,
2017,Alameda,90,Prevention Quality Overall Composite,,,,,9449,1314687,718.7,968.265326,,
2018,Alameda,90,Prevention Quality Overall Composite,,,,,9134,1323933,689.9,919.0965338,,
2019,Alameda,90,Prevention Quality Overall Composite,,,,,9208,1329186,692.8,911.8338415,,
2020,Alameda,90,Prevention Quality Overall Composite,,,,,7554,1327352,569.1,738.9197673,,
2005,Alameda,91,Prevention Quality Acute Composite,5660,1102068,513.6,602.1,,,,,,
2006,Alameda,91,Prevention Quality Acute Composite,5516,1106823,498.4,580.5,,,,,,
2007,Alameda,91,Prevention Quality Acute Composite,5759,1117973,515.1,594.4,,,,,,
2008,Alameda,91,Prevention Quality Acute Composite,5286,1136417,465.1,534.9,,,,,,
2009,Alameda,91,Prevention Quality Acute Composite,4933,1155287,427.0,487.3,,,,,,
2010,Alameda,91,Prevention Quality Acute Composite,4796,1169910,409.9,463.2,,,,,,
2011,Alameda,91,Prevention Quality Acute Composite,4546,1186810,383.0,427.4,,,,,,
2012,Alameda,91,Prevention Quality Acute Composite,4043,1173980,344.4,374.1,,,,,,
2013,Alameda,91,Prevention Quality Acute Composite,3668,1197759,306.2,330.6,,,,,,
2014,Alameda,91,Prevention Quality Acute Composite,3218,1192027,270.0,292.2,,,,,,
2015,Alameda,91,Prevention Quality Acute Composite,2769,923607,299.8,316.1,,,,,,
2016,Alameda,91,Prevention Quality Acute Composite,,,,,2339,1304840,179.3,247.9924198,,
2017,Alameda,91,Prevention Quality Acute Composite,,,,,1881,1314687,143.1,195.4937539,,
2018,Alameda,91,Prevention Quality Acute Composite,,,,,1660,1323933,125.4,169.0278016,,
2019,Alameda,91,Prevention Quality Acute Composite,,,,,1676,1329186,126.1,167.4007492,,
2020,Alameda,91,Prevention Quality Acute Composite,,,,,1231,1327352,92.7,121.2115205,,
2005,Alameda,92,Prevention Quality Chronic Composite,9593,1102068,870.5,1010.4,,,,,,
2006,Alameda,92,Prevention Quality Chronic Composite,8976,1106823,811.0,935.1,,,,,,
2007,Alameda,92,Prevention Quality Chronic Composite,8710,1117973,779.1,890.1,,,,,,
2008,Alameda,92,Prevention Quality Chronic Composite,8708,1136417,766.3,871.4,,,,,,
2009,Alameda,92,Prevention Quality Chronic Composite,8526,1155287,738.0,832.6,,,,,,
2010,Alameda,92,Prevention Quality Chronic Composite,8908,1169910,761.4,850.3,,,,,,
2011,Alameda,92,Prevention Quality Chronic Composite,8622,1186810,726.5,802.1,,,,,,
2012,Alameda,92,Prevention Quality Chronic Composite,8104,1173980,690.3,740.2,,,,,,
2013,Alameda,92,Prevention Quality Chronic Composite,7710,1197759,643.7,685.7,,,,,,
2014,Alameda,92,Prevention Quality Chronic Composite,7479,1192027,627.4,670.1,,,,,,
2015,Alameda,92,Prevention Quality Chronic Composite,5728,923607,620.2,645.2,,,,,,
2016,Alameda,92,Prevention Quality Chronic Composite,,,,,7297,1304840,559.2,757.0004232,,
2017,Alameda,92,Prevention Quality Chronic Composite,,,,,7568,1314687,575.7,771.7221592,,
2018,Alameda,92,Prevention Quality Chronic Composite,,,,,7474,1323933,564.5,748.9370076,,
2019,Alameda,92,Prevention Quality Chronic Composite,,,,,7532,1329186,566.7,743.561629,,
2020,Alameda,92,Prevention Quality Chronic Composite,,,,,6323,1327352,476.4,616.9996758,,
2016,Alameda,93,Prevention Quality Diabetes Composite,,,,,1618,1304840,124.0,164.3737067,,
2017,Alameda,93,Prevention Quality Diabetes Composite,,,,,1738,1314687,132.2,174.7046687,,
2018,Alameda,93,Prevention Quality Diabetes Composite,,,,,1813,1323933,136.9,180.3498365,,
2019,Alameda,93,Prevention Quality Diabetes Composite,,,,,1889,1329186,142.1,186.5950512,,
2020,Alameda,93,Prevention Quality Diabetes Composite,,,,,1763,1327352,132.8,173.4679119,,
2005,Alpine,1,Diabetes Short-term Complications,0,979,0,0,,,,,,
2006,Alpine,1,Diabetes Short-term Complications,0,1001,0,0,,,,,,
2007,Alpine,1,Diabetes Short-term Complications,0,1009,0,0,,,,,,
2008,Alpine,1,Diabetes Short-term Complications,0,957,0,0,,,,,,
2009,Alpine,1,Diabetes Short-term Complications,0,947,0,0,,,,,,
2010,Alpine,1,Diabetes Short-term Complications,0,895,0,0,,,,,,
2011,Alpine,1,Diabetes Short-term Complications,0,888,0,0,,,,,,
2012,Alpine,1,Diabetes Short-term Complications,0,2975,0,0,,,,,,
2013,Alpine,1,Diabetes Short-term Complications,0,2967,0,0,,,,,,
2014,Alpine,1,Diabetes Short-term Complications,0,2018,0,0,,,,,,
2015,Alpine,1,Diabetes Short-term Complications,0,3000,0,0,,,,,,
2016,Alpine,1,Diabetes Short-term Complications,,,,,0,860,0.0,0,,
2017,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0.0,0,,
2018,Alpine,1,Diabetes Short-term Complications,,,,,0,886,0.0,0,,
2019,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0.0,0,,
2020,Alpine,1,Diabetes Short-term Complications,,,,,0,907,0.0,0,,
2005,Alpine,2,Perforated Appendix,0,1,0.0,,,,,,,
2006,Alpine,2,Perforated Appendix,,,,,,,,,,
2007,Alpine,2,Perforated Appendix,2,2,100.0,,,,,,,
2008,Alpine,2,Perforated Appendix,1,2,50.0,,,,,,,
2009,Alpine,2,Perforated Appendix,0,1,0.0,,,,,,,
2010,Alpine,2,Perforated Appendix,,,,,,,,,,
2011,Alpine,2,Perforated Appendix,,,,,,,,,,
2012,Alpine,2,Perforated Appendix,,,,,,,,,,
2013,Alpine,2,Perforated Appendix,,,,,,,,,,
2014,Alpine,2,Perforated Appendix,,,,,,,,,,
2015,Alpine,2,Perforated Appendix,,,,,,,,,,
2005,Alpine,3,Diabetes Long-term Complications,0,979,0.0,0.0,,,,,,
2006,Alpine,3,Diabetes Long-term Complications,0,1001,0.0,0.0,,,,,,
2007,Alpine,3,Diabetes Long-term Complications,0,1009,0.0,0.0,,,,,,
2008,Alpine,3,Diabetes Long-term Complications,0,957,0.0,0.0,,,,,,
2009,Alpine,3,Diabetes Long-term Complications,1,947,105.6,92.2,,,,,,
2010,Alpine,3,Diabetes Long-term Complications,0,895,0.0,0.0,,,,,,
2011,Alpine,3,Diabetes Long-term Complications,0,888,0.0,0.0,,,,,,
2012,Alpine,3,Diabetes Long-term Complications,0,2975,0.0,0.0,,,,,,
2013,Alpine,3,Diabetes Long-term Complications,1,2967,33.7,75.8,,,,,,
2014,Alpine,3,Diabetes Long-term Complications,0,2018,0.0,0.0,,,,,,
2015,Alpine,3,Diabetes Long-term Complications,0,3000,0.0,0.0,,,,,,
2016,Alpine,3,Diabetes Long-term Complications,,,,,0,860,0.0,0,,
2017,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110.0,71.35099029,,
2018,Alpine,3,Diabetes Long-term Complications,,,,,1,886,112.9,72.00404264,,
2019,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110.0,71.17786008,,
2020,Alpine,3,Diabetes Long-term Complications,,,,,1,907,110.3,71.90643209,,
2005,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,143.3,165.3,,,,,,
2006,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,706,0.0,0.0,,,,,,
2007,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,729,0.0,0.0,,,,,,
2008,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,712,0.0,0.0,,,,,,
2009,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,712,0.0,0.0,,,,,,
2010,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,672,0.0,0.0,,,,,,
2011,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,680,0.0,0.0,,,,,,
2012,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,679,0.0,0.0,,,,,,
2013,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,143.9,139.4,,,,,,
2014,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,720,0.0,0.0,,,,,,
2015,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,540,0.0,0.0,,,,,,
2016,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,152.7,114.2208246,1,Cell suppressed for small numbers
2017,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,150.8,110.3402307,1,Cell suppressed for small numbers
2018,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,,,0,658,0.0,0,,
2019,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,,,0,651,0.0,0,,
2020,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,,,0,644,0.0,0,,
2005,Alpine,7,Hypertension,0,979,0.0,0.0,,,,,,
2006,Alpine,7,Hypertension,0,1001,0.0,0.0,,,,,,
2007,Alpine,7,Hypertension,0,1009,0.0,0.0,,,,,,
2008,Alpine,7,Hypertension,0,957,0.0,0.0,,,,,,
2009,Alpine,7,Hypertension,0,947,0.0,0.0,,,,,,
2010,Alpine,7,Hypertension,0,895,0.0,0.0,,,,,,
2011,Alpine,7,Hypertension,1,888,112.6,103.1,,,,,,
2012,Alpine,7,Hypertension,0,2975,0.0,0.0,,,,,,
2013,Alpine,7,Hypertension,0,2967,0.0,0.0,,,,,,
2014,Alpine,7,Hypertension,0,2018,0.0,0.0,,,,,,
2015,Alpine,7,Hypertension,0,3000,0.0,0.0,,,,,,
2016,Alpine,7,Hypertension,,,,,0,860,0.0,0,,
2017,Alpine,7,Hypertension,,,,,0,909,0.0,0,,
2018,Alpine,7,Hypertension,,,,,0,886,0.0,0,,
2019,Alpine,7,Hypertension,,,,,0,909,0.0,0,,
2020,Alpine,7,Hypertension,,,,,0,907,0.0,0,,
