X,Y,OBJECTID,SITEID,SITENAME,AGENCY,OBSERVATIONTYPE,LATDD,LONGDD,HORIZONTALDATUM,TOTALDEPTH,CASEDDEPTH,COMMENTS
-82.5388364389822,28.3790332735546,90,20532,CROSS BAR 2W CREWS LAKE U FLDN AQ (CB-2W),SWFWMD,Well,28.379028,-82.538833,,160,120,
-82.4777254232398,28.4272272869071,91,20539,CROSS BAR 1NW KUKA U FLDN AQ (CB-1NW),SWFWMD,Well,28.427222,-82.477722,,150,100,
-82.465447419448,28.4279222869692,92,20541,MASARYKTOWN DEEP,SWFWMD,Well,28.427917,-82.465444,,76,29,
-82.6252814644856,28.3935882750522,93,20547,ENGLE PARK FLDN,SWFWMD,Well,28.393583,-82.625278,,130,80,
-82.4675864075568,28.0363381929171,94,18670,ROMP 66 U FLDN AQ MONITOR,SWFWMD,Well,28.036333,-82.467583,,250,42,
-82.2429203436074,28.083727210396,95,18677,ROMP 68 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,28.083722,-82.242917,,490,440,
-82.3473923712782,28.003561188259,96,18713,TBC 05 VANDENBERG AP FLDN,SWFWMD,Well,28.003556,-82.347389,,100,55,
-82.4034173960494,28.2729052514148,97,18913,CYPRESS CREEK 3 FLDN,SWFWMD,Well,28.2729,-82.403414,,352,136,
-81.5939337063916,27.9198107425161,98,25241,ROMP 58 U FLDN AQ MONITOR,SWFWMD,Well,27.91980556,-81.59393056,,330,155,
-81.9765310135853,27.1745383326803,99,24041,ROMP 17 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,27.17453334,-81.97652777,,1430,1115,
-82.489120063631,27.4278717141044,100,26203,ROMP TR 7-4 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.42786667,-82.48911667,,800,560,
-82.3298227813008,26.9256215964227,101,25060,ROMP TR 3-3 SWNN PZ MONITOR REPL,SWFWMD,Well,26.92561667,-82.32981945,,900,680,
-81.9814587851924,26.8403965806965,102,25083,ROMP TR 1-2 U FLDN AQ MONITOR,SWFWMD,Well,26.84039167,-81.98145555,,1184,980,
-82.3436703716286,28.0454491985214,103,18740,TBC WL-01 FLDN,SWFWMD,Well,28.045444,-82.343667,,110,46,
-82.3464753708329,27.98517218355,104,18757,TBC 2E-SMC FLDN,SWFWMD,Well,27.985167,-82.346472,,90,37,
-82.352642372522,27.9852551840347,105,18786,TBC 2W-SMC FLDN,SWFWMD,Well,27.98525,-82.352639,,96,40,
-82.209531330952,27.9923381887292,106,18797,DV-1 U FLDN AQ (SWNN) MONITOR,SWFWMD,Well,27.992333,-82.209528,,345,160,
-82.433420403782,28.2434022439362,107,18498,ROMP 84 TMPA-AVPK,SWFWMD,Well,28.243397,-82.433417,,666,90,
-82.4770844154922,28.1951222307868,108,18508,WILSON FLDN REPL,SWFWMD,Well,28.195117,-82.477081,,135,95,
-82.2542644242788,27.0777494076098,109,25937,ROMP 8 SWNN PZ MONITOR,SWFWMD,Well,27.07774444,-82.25426111,,842,510,
-82.343725372371,28.0562272010516,110,18616,ROMP 67 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,28.056222,-82.343722,,490,440,
-82.236961359606,28.601663335393,111,23522,WR-6B SHALLOW U FLDN AQ MONITOR,SWFWMD,Well,28.601658,-82.236958,,80,50,
-82.2568643651221,28.5937613326963,112,23534,ROMP 103 U FLDN AQ MONITOR,SWFWMD,Well,28.593756,-82.256861,,198,111,
-82.5455864281884,28.001699183004,113,19919,ROMP TR 12-3 U FLDN AQ MONITOR REPL,SWFWMD,Well,28.001694,-82.545583,,342,294,
-82.57542043738,28.0111991843749,114,19945,CHANNEL G BM FLDN,SWFWMD,Well,28.011194,-82.575417,,120,115,
-82.2524203418519,27.940811175609,115,18029,TURNER FLDN,SWFWMD,Well,27.940806,-82.252417,,342,60,
-82.054114275303,27.6478661092134,116,18052,ROMP 40 U FLDN AQ MONITOR,SWFWMD,Well,27.647861,-82.054111,,1140,408,
-82.4227813836998,27.7410051228892,117,18065,ROMP TR 9-3 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.741,-82.422778,,525,289,
-82.3931423769955,27.7652831297947,118,18077,ROMP TR 9-2 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.765278,-82.393139,,462,247,
-82.6512254637614,28.151394215917,119,19653,ELDRIDGE-WILDE 11 FLDN,SWFWMD,Well,28.151389,-82.651222,,400,110,
-82.6546144653343,28.1619492184679,120,19654,ELDRIDGE-WILDE 113B FLDN,SWFWMD,Well,28.161944,-82.654611,,120,0,
-82.0218062879566,28.3309722757142,121,17604,GREEN SWAMP L-11M MED DEEP,SWFWMD,Well,28.330967,-82.021803,,18,0,
-82.0218092880267,28.3309632756425,122,17605,GREEN SWAMP L-11M DEEP,SWFWMD,Well,28.330958,-82.021806,,49,0,
-82.0221972929491,28.4612133066923,123,17606,GREEN SWAMP L-12B DEEP,SWFWMD,Well,28.461208,-82.022194,,30,0,
-81.9821342810396,28.4616633084409,124,17608,WITHLACOOCHEE STATE FOREST GREEN SWAMP FLDN,SWFWMD,Well,28.461658,-81.982131,,175,99,
-81.911356255279,28.3106972738812,125,17708,ROMP 88 U FLDN AQ MONITOR,SWFWMD,Well,28.310692,-81.911353,,385,195,
-82.1162253141111,28.2820882615528,126,17719,US 98 NR DADE CITY FLDN,SWFWMD,Well,28.282083,-82.116222,,200,41,
-82.3145863576105,27.8582831538729,127,18104,ROMP 62 U FLDN AQ MONITOR,SWFWMD,Well,27.858278,-82.314583,,692,625,
-82.3385863642245,27.8714221566692,128,18106,US PHOSPHORIC AT RIVERVIEW,SWFWMD,Well,27.871417,-82.338583,,658,653,
-82.2933923688625,28.3942272839665,129,18326,BR-2 U FLDN AQ MONITOR,SWFWMD,Well,28.394222,-82.293389,,210,98,
-82.3131863758505,28.4255992908601,130,18337,PLESS PARK FLDN,SWFWMD,Well,28.425594,-82.313183,,180,150,
-82.7270314859329,28.1572832155973,131,22774,JOHNSON SALT BAYOU FLDN,SWFWMD,Well,28.157278,-82.727028,,74,64,
-82.7804755002993,28.1341442088208,132,22780,ROMP TR 15-1 U FLDN AQ CHLORIDE MONITOR,SWFWMD,Well,28.134139,-82.780472,,85,80,
-82.7576144940826,28.1290612075971,133,22788,ROMP TR 15-2 U FLDN AQ CHLORIDE MONITOR,SWFWMD,Well,28.129056,-82.757611,,55,50,
-82.6372814567655,28.0663941958983,134,19560,ROMP TR 13-3 U FLDN AQ MONITOR,SWFWMD,Well,28.066389,-82.637278,,807,724,
-82.6152814514493,28.0851992007144,135,19563,ST PETE E-102 FLDN,SWFWMD,Well,28.085194,-82.615278,,1200,697,
-81.9255202638261,28.4548023082286,136,17728,ROMP 101 U FLDN AQ MONITOR,SWFWMD,Well,28.454797,-81.925517,,410,120,
-82.1611973145617,27.9085331704668,137,17769,ROMP 61 U FLDN AQ MONITOR,SWFWMD,Well,27.908528,-82.161194,,1000,300,
-82.2513093328526,27.6754771115025,138,17822,ROMP 123 HTRN AS/U FLDN AQ MONITOR,SWFWMD,Well,27.675472,-82.251306,,620,117,
-82.4055864004575,28.3726992759784,139,20507,CROSS BAR 3E BARTHLE BROS U FLDN AQ (CB-3E),SWFWMD,Well,28.372694,-82.405583,,150,100,
-82.6903924745395,28.1233382080417,140,21155,NWHWRAP-1D DEEP U FLDN AQ MONITOR,SWFWMD,Well,28.123333,-82.690389,,627,571,
-82.6909474746789,28.122311207859,141,21157,DUNN FLDN,SWFWMD,Well,28.122306,-82.690944,,77,57,
-82.7389474889639,28.1258382079327,142,21164,ROMP TR 15-3 U FLDN AQ CHLORIDE MONITOR,SWFWMD,Well,28.125833,-82.738944,,150,147,
-82.7203644763236,27.9089221557804,143,21212,ROMP TR 13-2X U FLDN AQ MONITOR (SWNN) 1,SWFWMD,Well,27.908917,-82.720361,,279,269,
-82.2370033591775,28.6016633345822,144,23542,WR-6B DEEP U FLDN AQ MONITOR,SWFWMD,Well,28.601658,-82.237,,356,326,
-82.2911143581294,28.0775052077797,145,18620,LHFDA 22 FLDN,SWFWMD,Well,28.0775,-82.291111,,152,68,
-82.3523093732996,28.0287831938544,146,18634,TBC 603 FLDN,SWFWMD,Well,28.028778,-82.352306,,0,0,
-82.4013923913313,28.1233662162755,147,19193,CYPRESS CREEK ELAPP SOUTH FLDN,SWFWMD,Well,28.123361,-82.401389,,164,104,
-82.3918363891459,28.1550052233009,148,19194,CYPRESS CREEK ELAPP NORTH FLDN,SWFWMD,Well,28.155,-82.391833,,124,80,
-82.181781340259,28.5101993147373,149,23558,ROMP 99X U FLDN AQ MONITOR,SWFWMD,Well,28.510194,-82.181778,,222,143,
-82.4800314097396,28.0094491862392,150,19230,NWHWRAP-2D SHALLOW U FLDN AQ MONITOR,SWFWMD,Well,28.009444,-82.480028,,390,290,
-82.4876704151438,28.10772721015,151,19585,ROMP 65 FMW-3 UPPER FLDN,SWFWMD,Well,28.107722,-82.487667,,127,92,
-82.6672254693202,28.1731722208918,152,19899,ELDRIDGE-WILDE N3 FLDN,SWFWMD,Well,28.173167,-82.667222,,350,100,
-82.6513364644915,28.1696722207953,153,19900,ELDRIDGE-WILDE 2N FLDN,SWFWMD,Well,28.169667,-82.651333,,292,62,
-82.4528094169549,28.4440612916052,154,20868,CROSS BAR 2N MASARYKTOWN CANAL U FLDN AQ (CB-2N),SWFWMD,Well,28.444056,-82.452806,,150,100,
-82.4434754145699,28.4700612984111,155,20878,ROMP 98 U FLDN AQ MONITOR,SWFWMD,Well,28.470056,-82.443472,,143,79,
-81.8910587971938,28.0993663338535,156,24726,TENOROC ROAD INT NR LAKELAND,SWFWMD,Well,28.09936111,-81.89105556,,72,45,
-82.5714314655068,28.8764803918064,157,20085,ROMP TR 21-3 AVPK PZ CHLORIDE MONITOR,SWFWMD,Well,28.876475,-82.571428,,251,240,
-82.5531424530309,28.6582473396981,158,20120,ROMP TR 20-3 U FLDN AQ MONITOR (OCAL),SWFWMD,Well,28.658242,-82.553139,,203,100,
-82.6005864612067,28.5175613054995,159,20893,WW-4 WEEKI WACHEE U FLDN AQ MONITOR,SWFWMD,Well,28.517556,-82.600583,,523,481,
-82.5778364545828,28.5113383042354,160,20922,WEEKI WACHEE F FLDN,SWFWMD,Well,28.511333,-82.577833,,304,62,
-82.6530314746038,28.4501162874752,161,20936,ROMP TR 18-2 AVPK PZ MONITOR,SWFWMD,Well,28.450111,-82.653028,,480,447,
-82.6559204760097,28.4580882894701,162,20937,ROMP TR 18-2A U FLDN AQ INTERFACE MONITOR,SWFWMD,Well,28.458083,-82.655917,,209,153,
-82.4508954282576,28.7925223744815,163,20971,CSPR-2 U FLDN AQ MONITOR,SWFWMD,Well,28.792517,-82.450892,,95,55,
-82.6067534736602,28.7975223718642,164,20986,CSPR-4 U FLDN AQ MONITOR,SWFWMD,Well,28.797517,-82.60675,,43,18,
-82.4805924343375,28.7386443607657,165,21015,ROMP 108 U FLDN AQ MONITOR,SWFWMD,Well,28.738639,-82.480589,,230,191,
-82.3651423882626,28.3468112705827,166,18340,CR 581 NORTH FLDN,SWFWMD,Well,28.346806,-82.365139,,130,77,
-82.3620593883072,28.3794492782301,167,18351,ROMP 92 (CB-4E) U FLDN AQ MONITOR REPL,SWFWMD,Well,28.379444,-82.362056,,130,100,
-82.1216143119728,28.1768662360524,168,18356,J ALSTON FLDN,SWFWMD,Well,28.176861,-82.121611,,55,47,
-82.1217253122188,28.1752832359989,169,18357,ALSTON DEEP FLDN,SWFWMD,Well,28.175278,-82.121722,,98,59,
-82.0178302876904,28.3550262814249,170,17589,GREEN SWAMP MARSH FLDN,SWFWMD,Well,28.355021,-82.017827,,122,44,
-82.0208722890048,28.3644222835207,171,17591,GREEN SWAMP L-11K DEEP,SWFWMD,Well,28.364417,-82.020869,,36,0,
-82.5739534592082,28.6658443416208,172,20125,ROMP TR 20-2 U FLDN AQ MONITOR,SWFWMD,Well,28.665839,-82.57395,,303,103,
-82.7109754823197,28.1951442246416,173,22832,NWHWRAP-3D DEEP U FLDN AQ MONITOR,SWFWMD,Well,28.195139,-82.710972,,411,363,
-82.6801704743612,28.2063382283476,174,22836,SEVEN SPRINGS ELEMENTARY FLDN,SWFWMD,Well,28.206333,-82.680167,,68,56,
-82.7151974845717,28.2109222284934,175,22837,ANCLOTE ELEMENTARY SCHOOL FLDN,SWFWMD,Well,28.210917,-82.715194,,98,88,
-81.4352391998852,27.368868941669,176,23725,ROMP 28 AVPK,SWFWMD,Well,27.36886389,-81.43523611,,1642,960,
-82.6118164829531,29.0221304250929,177,22957,CE 70 FLDN,SWFWMD,Well,29.022125,-82.611813,,67,62,
-82.7231185152138,29.0336374242944,178,22964,ROMP TR 124 U FLDN AQ MONITOR (AVPK) 2,SWFWMD,Well,29.033632,-82.723115,,250,200,
-82.6765315018496,29.0337474256478,179,22966,CE 62 FLORIDA POWER FLDN,SWFWMD,Well,29.033742,-82.676528,,155,0,
-82.6893615053178,29.0414074273014,180,22976,ROMP TR 125 U FLDN AQ SULFATE MONITOR,SWFWMD,Well,29.041402,-82.689358,,280,270,
-82.5706334741815,29.1288884515247,181,22980,TIDEWATER 1 FLDN,SWFWMD,Well,29.128883,-82.57063,,784,298,
-82.4191024274905,29.053440438033,182,23020,CE 14 DUNNELLON DEEP,SWFWMD,Well,29.053435,-82.419099,,202,123,
-82.5321064312473,28.1866242279402,183,22842,SOUTH PASCO WEST DEEP,SWFWMD,Well,28.186619,-82.532103,,676,116,
-82.5135174256575,28.1955082298786,184,22845,STATE ROAD 54 DEEP,SWFWMD,Well,28.195503,-82.513514,,345,178,
-82.5517644548122,28.7219243550844,185,21035,CHASSAHOWITZKA 1 DEEP,SWFWMD,Well,28.721919,-82.551761,,176,166,
-82.3648114011365,28.7252883607803,186,21053,ROMP 109 U FLDN AQ MONITOR,SWFWMD,Well,28.725283,-82.364808,,260,189,
-82.2435423791705,29.1089154555097,187,670761,ROMP 129 U FLDN AQ MONITOR,SWFWMD,Well,29.10891,-82.243539,,155,50,
-82.5710864401269,28.1172272101839,188,19597,ST PETE JAMES 11 FLDN,SWFWMD,Well,28.117222,-82.571083,,300,76,
-82.5163644256073,28.1632272227624,189,19608,ST PETE-PASCO SOUTH BM U FLDN AQ MONITOR,SWFWMD,Well,28.163222,-82.516361,,700,93,
-82.4711144249078,28.5320883120336,190,20581,SPRING HILL FLDN,SWFWMD,Well,28.532083,-82.471111,,107,80,
-82.5049864245912,28.2468192426938,191,21063,BEXLEY 2 FLDN,SWFWMD,Well,28.246814,-82.504983,,149,51,
-82.5179254280991,28.2157692355075,192,22854,LEDANTEC FLDN,SWFWMD,Well,28.215764,-82.517922,,55,44,
-82.4954474290167,28.4452272903861,193,20824,CROSS BAR 2NW SPRING HILL 12 U FLDN AQ (CB-2NW),SWFWMD,Well,28.445222,-82.495444,,150,100,
-82.4532814176212,28.4806443004071,194,20829,CROSS BAR 4N AIRPORT U FLDN AQ (CB-4N),SWFWMD,Well,28.480639,-82.453278,,251,80,
