APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
5056012007,80053,PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 5),In-Service,REHAB,"1810 S MAGNOLIA AVE  Los Angeles, CA 90006",1,5,PICO-UNION,0,83,FAMILY,No,10/07/2010,4575000,10250907,0,14825907,2011,Gubb and Barshay,LITTLE TOKYO SERVICE CENTER,(213) 434-1645,click here (http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site5/PH&D%201810%20Magnolia.jpg),45,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080053&LutSiteCD=5),C-117961,2/7/2022,-118.28624,34.04098,POINT (-118.28624 34.04098)
5115018900,11-117837,DUNBAR VILLAGE (SITE 3),In-Service,ACQUISITION + REHAB,"4251 S CENTRAL AVE  Los Angeles, CA 90011",9,3,VERNON CENTRAL,18,83,FAMILY,No,07/06/2011,12019660,17563532,0,29583192,2013,THOMAS SAFRAN & ASSOCIATES,THOMAS SAFRAN & ASSOCIATES,(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/11-117837/Photo/Website%20Site3/Dunbar2[1].jpg),215,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117837&LutSiteCD=3),"C-119063,C-123799",2/7/2022,-118.25669,34.00649,POINT (-118.25669 34.00649)
2218023009,12-119044,HAZELTINE & WYANDOTTE (SITE 2),In-Service,ACQUISITION + REHAB,"14630 W WYANDOTTE ST  VAN NUYS, CA 91405",6,2,VAN NUYS,73,108,FAMILY,No,12/02/2013,0,8271924,10381000,18652924,2014,"INSITE DEVELOPMENT, LLC",IRONWOOD COMPANY,(818) 789-5550,click here (http://hcidapp.lacity.org/mpphotos/12-119044/Photo/Website%20Site2/150_1643.png),41,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-119044&LutSiteCD=2),,2/7/2022,-118.45222,34.20289,POINT (-118.45222 34.20289)
5110027025,10113,BROADWAY VILLAGE II,In-Service,NEW CONSTRUCTION,"5101 S BROADWAY 1-50  Los Angeles, CA 90037",9,1,SOUTH PARK,50,50,FAMILY,No,09/22/2003,1987378,10017311,0,12004689,2007,"BEYOND SHELTER HOUSING,","WNC & ASSOCIATES, INC.",(213) 251-2111,click here (http://hcidapp.lacity.org/mpphotos/010113/Photo/Website/CD_9_-_Broadway_Village_II_-_010113[1].png),53,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=010113&LutSiteCD=1),C-105686,2/7/2022,-118.27895,33.99634,POINT (-118.27895 33.99634)
5153024008,18-124748,HARTFORD VILLA APARTMENTS (SITE 2),In-Service,NEW CONSTRUCTION,"459 S HARTFORD AVE 1-60  LOS ANGELES, CA 90017",1,2,WESTLAKE,0,101,SPECIAL NEEDS,Yes,11/08/2018,15637664,30648000,0,46285664,2021,Single Room Occupancy Housing Corporation,SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),404,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124748&LutSiteCD=2),"C-132337,C-132338",2/7/2022,-118.26381,34.05708,POINT (-118.26381 34.05708)
5051015008,06-117222,WINDWARD APTS (A/B) (SITE 9),In-Service,REHAB,"3922 W 27TH ST  Los Angeles, CA 90018",10,9,WEST ADAMS,10,232,FAMILY,No,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=9),,2/7/2022,-118.32793,34.03141,POINT (-118.32793 34.03141)
5180001900,19-125934,LA VERANDA,Development,NEW CONSTRUCTION,"2420 E CESAR E CHAVEZ AVE  Los Angeles, CA 90033",14,1,BOYLE HEIGHTS,77,77,SPECIAL NEEDS,Yes,07/01/2021,9120000,0,0,9120000,Development,Abode Communities,ABODE COMMUNITIES,(213) 225-2754,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),315,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125934&LutSiteCD=1),C-138496,2/7/2022,-118.2071,34.04629,POINT (-118.2071 34.04629)
5502018025,10-117548,NORMANDIE TERRACE APARTMENT HOMES,In-Service,NEW CONSTRUCTION,"540 S NORMANDIE AVE 1-66  Los Angeles, CA 90020",10,1,KOREATOWN,66,66,FAMILY,No,04/08/2011,3200000,25449746,0,28649746,2012,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 787-2722,click here (http://hcidapp.lacity.org/mpphotos/10-117548/Photo/Website/10-117548.JPG),196,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117548&LutSiteCD=1),C-118711,2/7/2022,-118.30015,34.06411,POINT (-118.30015 34.06411)
5504022026,15-122419,HANCOCK GARDENS,In-Service,ACQUISITION + REHAB,"303 S VAN NESS AVE  Los Angeles, CA 90020",13,1,HANCOCK PARK,66,66,SENIORS,No,04/08/2016,0,26719608,0,26719608,2017,"THOMAS SAFRAN & ASSOCIATES, Inc",THOMAS SAFRAN & ASSOCIATES INC,(310) 820 x4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122419&LutSiteCD=1),,2/7/2022,-118.3153,34.06874,POINT (-118.3153 34.06874)
5051006016,18-124722,PATH VILLAS MONTCLAIR/GRAMERCY(NEW-SITE 1 OF 2),Development,NEW CONSTRUCTION,"4220 W MONT CLAIR ST  Los Angeles, CA 90018",10,1,CRENSHAW DISTRICT,46,46,SPECIAL NEEDS,Yes,12/26/2019,9900000,18608877,2243986,30752863,Development,PATH Ventures,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/18-124722/Photo/Website/Path%20montclair.JPG),234,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124722&LutSiteCD=1),C-134770,2/7/2022,-118.33221,34.03164,POINT (-118.33221 34.03164)
6022022011,19-125950,FLORENCE TOWNE (FKA 410 E. FLORENCE AVENUE),Development,NEW CONSTRUCTION,"410 E FLORENCE AVE  Los Angeles, CA 90003",9,1,FLORENCE-FIRESTONE,51,51,SPECIAL NEEDS,Yes,03/13/2020,7000000,8804956,0,15804956,Development,"Unique Construction & Development, Inc.",FPI MANAGEMENT INC.,(916) 358-7299,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),310,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125950&LutSiteCD=1),C-135033,2/7/2022,-118.26696,33.97456,POINT (-118.26696 33.97456)
2532017068,11-117796,OSBORNE STREET APARTMENTS,In-Service,NEW CONSTRUCTION,"12059 W OSBORNE ST  Sylmar, CA 91331",7,1,LAKEVIEW TERRACE,60,60,FAMILY,Yes,03/08/2012,3805976,15063116,0,18869092,2013,"RELATED CALIFORNIA URBAN HOUSING, LLC",RELATED MANAGEMENT CO.,(949) 660-390,click here (http://hcidapp.lacity.org/mpphotos/11-117796/Photo/Website/11-117796.JPG),144,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117796&LutSiteCD=1),C-120204,2/7/2022,-118.39505,34.27294,POINT (-118.39505 34.27294)
5544010027,80004,HOLLYWOOD BUNGALOW COURTS,In-Service,ACQUISITION + REHAB,"1721 N KINGSLEY DR  LOS ANGELES, CA 90027",4,1,THAI TOWN,10,42,FAMILY,Yes,11/20/2008,4390000,17823840,0,22213840,2010,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/080004/Photo/Website/CD%2014%20-%20Hollywood%20Bungalows%20-%201721%20Kingsley.jpg),104,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080004&LutSiteCD=1),C-114816,2/7/2022,-118.30363,34.10262,POINT (-118.30363 34.10262)
5156018011,20093,ST. ANNE'S TRANSITIONAL HOUSING,In-Service,N/A,"155 N OCCIDENTAL BLVD  Los Angeles, CA 90026",13,1,HISTORIC FILIPINOTOWN,40,40,N/A,No,02/24/2004,2000000,8758249,0,10758249,2005,"ST. ANNE'S TRANSITIONAL HOUSING,",N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/020093/Photo/Website/CD_13_-_St._Anne's_Transitional%202.png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=020093&LutSiteCD=1),C-106308,2/7/2022,-118.27993,34.07238,POINT (-118.27993 34.07238)
5046001021,15-122533,CRENSHAW GARDENS,In-Service,NEW CONSTRUCTION,"3411 S CRENSHAW BLVD  Los Angeles, CA 90016",10,1,CRENSHAW DISTRICT,49,49,FAMILY,No,11/30/2016,6875000,21899538,0,28774538,2018,Retirement Housing Foundation,"FOUNDATION PROPERTY MANAGEMENT, INC.",(562) 257-5100,click here (http://hcidapp.lacity.org/mpphotos/15-122533/Photo/Website/P8120404.JPG),229,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122533&LutSiteCD=1),"C-126984,C-128618,C-131478",2/7/2022,-118.33529,34.02508,POINT (-118.33529 34.02508)
4305014900,15-122532,PICO ROBERTSON SENIOR COMMUNITY,In-Service,NEW CONSTRUCTION,"8866 W PICO BLVD  LOS ANGELES, CA 90035",5,1,CRESTVIEW,48,48,SENIORS,Yes,12/01/2017,2789400,29121194,0,31910594,2020,Mercy Housing California,MERCY HOUSING MANAGEMENT GROUP,(415) 355-7124,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),244,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122532&LutSiteCD=1),C-130530,2/7/2022,-118.38517,34.05485,POINT (-118.38517 34.05485)
2320014007,20-127448,THE MAHALIA (FKA 11604 VANOWEN),Development,NEW CONSTRUCTION,"11604 VANOWEN ST  LOS ANGELES, CA 91605",2,1,NORTH HOLLYWOOD,49,49,SPECIAL NEEDS,Yes,01/26/2021,4900000,16726960,0,21626960,Development,Decro Corporation,FPI MANAGEMENT,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=20-127448&LutSiteCD=1),C-137505,2/7/2022,-118.38476,34.19379,POINT (-118.38476 34.19379)
5544025033,60057,BRICKER,In-Service,ACQUISITION + REHAB,"1671 N WESTERN AVE  Los Angeles, CA 90027",13,1,HOLLYWOOD,16,16,SENIORS,No,02/24/2007,627878,6465419,0,7093297,2011,"ADVANCED BUSINESS SOLUTIONS, LLC",BARKER MANAGEMENT INCORPORATED,(714) 553-3450,click here (http://hcidapp.lacity.org/mpphotos/060057/Photo/Website/060057.JPG),14,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060057&LutSiteCD=1),C-111304,2/7/2022,-118.30957,34.10127,POINT (-118.30957 34.10127)
5143020024,18-125047,INGRAHAM VILLA APARTMENTS,Development,NEW CONSTRUCTION,"1218 INGRAHAM ST  LOS ANGELES, CA 90017",1,1,WESTLAKE,121,121,SPECIAL NEEDS,Yes,08/28/2020,12000000,49320540,0,61320540,Development,Single Room Occupancy Housing  Corp. (SRO),SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640 x22,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),467,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125047&LutSiteCD=1),C-136386,2/7/2022,-118.26641,34.05255,POINT (-118.26641 34.05255)
5503024004,14-121119,LDK SENIOR APARTMENTS (SITE 2),In-Service,NEW CONSTRUCTION,"540 S KINGSLEY DR  Los Angeles, CA 90020",10,2,KOREATOWN,35,67,SENIORS,No,06/25/2014,7687337,17414515,212000,25313852,2016,"LTSC COMMUNITY DEVELOPMENT CORP,","LEVINE MANAGEMENT GROUP, INC.",(310) 358-3489,click here (http://hcidapp.lacity.org/mpphotos/14-121119/Photo/Website%20Site2/LDK%20540%20Kingley.png),199,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121119&LutSiteCD=2),C-124124,2/7/2022,-118.30266,34.06409,POINT (-118.30266 34.06409)
