id,joke
6USSCQnyd,"I'd like to start a diet, but I've got too much on my plate right now."
6hqHJmyPmyd,What kind of music do mummy's like? Rap
6prjykbFd,"What's large, grey, and doesn't matter?
An irrelephant.
"
71gF6wHBsrc,A book just fell on my head. I only have my shelf to blame.
71wsPKeF6h,What did the dog say to the two trees? Bark bark.
7MRuzIYgaFd,"If a child refuses to sleep during nap time, are they guilty of resisting a rest?"
7MZ0LR7UfFd,Why can't your nose be 12 inches long? Because then it'd be a foot!
7U89MJeFdib,Have you ever heard of a music group called Cellophane? They mostly wrap.
7USvkbaahFd,What do you call a boy who stopped digging holes? Douglas.
7Ufi31gydFd,What did the mountain climber name his son? Cliff.
7UnjNRfapzd,Why should you never trust a pig with a secret? Because it's bound to squeal.
7Uvc29hFIBd,Why are mummys scared of vacation? They're afraid to unwind.
7h3oGtrOfxc,Whiteboards ... are remarkable.
7hNuz5MeVnb,What kind of dinosaur loves to sleep? A stega-snore-us.
7p41Lmbpjqc,What has three letters and starts with gas? A Car.
7wciy59MJe,What’s Forest Gump’s Facebook password? 1forest1
82LBXSfaFlb,What kind of tree fits in your hand? A palm tree!
82TnORSK6wc,"Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, ‘No, just leave it in the carton!’"
82gqciGBdFd,"I used to be addicted to the hokey pokey, but I turned myself around."
82wAAI6pbh,How many tickles does it take to tickle an octopus? Ten-tickles!
82wHlbaapzd,"Me: If humans lose the ability to hear high frequency volumes as they get older, can my 4 week old son hear a dog whistle?

Doctor: No, humans can never hear that high of a frequency no matter what age they are.

Me: Trick question... dogs can't whistle."
892EImW0Dlb,What musical instrument is found in the bathroom? A tuba toothpaste.
89pzsHtW8pb,My boss told me to attach two pieces of wood together... I totally nailed it!
8U0TClqOZDd,"What was the pumpkin’s favorite sport?

Squash."
8U8EdpWnOuc,Recent survey revealed 6 out of 7 dwarf's aren't happy.
8UDdUnrzkyd,What do you call corn that joins the army? Kernel.
8USSSfVn3ob,I've been trying to come up with a dad joke about momentum . . . but I just can't seem to get it going.
8UnrHe2T0g,‘Put the cat out’ … ‘I didn’t realize it was on fire
8hFYojqz5h,Why don't skeletons ride roller coasters? They don't have the stomach for it.
8hVnbxcp4wc,Is there a hole in your shoe? No… Then how’d you get your foot in it?
8p49pWvcxAd,"Every night at 11:11, I make a wish that someone will come fix my broken clock."
8pWvzkjN7Ed,"Two muffins were sitting in an oven, and the first looks over to the second, and says, “man, it’s really hot in here”. The second looks over at the first with a surprised look, and answers, “WHOA, a talking muffin!”"
8prWvkOf2Ed,"What's the difference between a guitar and a fish? You can tune a guitar but you can't ""tuna"" fish!"
92oOKusHBd,Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads “Small medium at large.”
99MZvHJJtzd,Why don't sharks eat clowns?  Because they taste funny.
99U0T7hVDlb,Just read a few facts about frogs. They were ribbiting.
99UDQZgyIBd,"Two satellites decided to get married. The wedding wasn't much, but the reception was incredible."
9EBljqWDAsc,What do you call a fish with no eyes? A fsh.
9Mus4wkqzd,What do you get if you put a duck in a cement mixer? Quacks in the pavement.
9hiGeNZ0Tnb,They tried to make a diamond shaped like a duck. It quacked under the pressure.
9hyAsrzAItc,Where’s the bin? Dad: I haven’t been anywhere!
9pOR7pzItrc,How do you make a water bed more bouncy. You use Spring Water
9pW8xXgiiqc,I considered building the patio by myself. But I didn't have the stones.
9pjqj3gqWDd,"In my career as a lumberjack I cut down exactly 52,487 trees. I know because I kept a log."
9prWnjyImyd,Why do bears have hairy coats? Fur protection.
9xA51L6Uvc,"What do you get when you cross a bee and a sheep? A bah-humbug.
"
9xPCt411ojb,What did one snowman say to the other snow man? Do you smell carrot?
A5MCY821gib,Why do bees hum? Because they don't know the words.
A5ozsH6pWnb,What do you call a troublesome Canadian high schooler? A poutine.
AAIYo4MJmrc,A magician was driving down the street and then he turned into a driveway.
AAXnyImyPCd,Don't trust atoms. They make up everything.
AAdFBXnGlyd,"If you walk into a forest and cut down a tree, but the tree doesn't understand why you cut it down, do you think it's stumped?"
AI6hiGtzAd,Where do bees go to the bathroom?  The BP station.
AI6pbUSnbh,"What is the best way to carve?
Whittle by whittle."
AIm3w5hiyd,Why did the tree go to the dentist? It needed a root canal.
AQn3wPKeqrc,It was raining cats and dogs the other day. I almost stepped in a poodle.
AXnrrcNmyAd,Why do bananas have to put on sunscreen before they go to the beach? Because they might peel!
AXvHeVvHeib,What do you call a bee that lives in America? A USB.
Albp49Mmjyd,"I was wondering why the frisbee was getting bigger, then it hit me."
AljqO7hFBd,"A farmer had 297 cows, when he rounded them up, he found he had 300"
As4wsHtzd,"What's the difference between a hippo and a zippo? One is really heavy, the other is a little lighter."
AsWLeVDAItc,Somebody stole my Microsoft Office and they're going to pay - you have my Word.
AsrrcprjNCd,What concert costs only 45 cents? 50 cent featuring Nickelback.
B5h311TS7h,I couldn't figure out how the seat belt worked. Then it just clicked.
B5hNeNJYgFd,"What did the green grape say to the purple grape?
BREATH!!"
BAdU0DAlVvc,What do you call a dad that has fallen through the ice? A Popsicle.
BAscNus4ozd,"Two parrots are sitting on a perch. One turns to the other and asks, ""do you smell fish?"""
BI699EY08Ed,Bad at golf? Join the club.
BQKZTnOCIe,"I had a pair of racing snails. I removed their shells to make them more aerodynamic, but they became sluggish."
BQfaxsHBsrc,What do you call a pile of cats?  A Meowtain.
BQnyImOCIBd,How do hens stay fit? They always egg-cercise!
BdxHQZ0TCd,Can a kangaroo jump higher than the Empire State Building? Of course. The Empire State Building can't jump.
BsHtcN7hiqc,What do you give a sick lemon? Lemonaid.
C59hNRCdUnb,What do you call an old snowman? Water.
CAlG6MRnWnb,"I just got fired from a florist, apparently I took too many leaves."
CIt49pjG6wc,Why don’t skeletons ever go trick or treating? Because they have nobody to go with.
CQSKeaFIBsc,What does a female snake use for support? A co-Bra!
CYvsHtWDAlb,"""Dad, I'm cold.""
""Go stand in the corner, I hear it's 90 degrees."""
Cd2gFdFQKuc,"Child: Dad, make me a sandwich. Dad: Poof! You're a sandwich."
ClGY8xc2EBd,Why are graveyards so noisy? Because of all the coffin.
CtWgqjbMeib,What kind of bagel can fly? A plain bagel.
D5E6USfNmb,How many apples grow on a tree? All of them!
D5wAA5o4TCd,What do you call a careful wolf? Aware wolf.
DAskq4oWSvc,"I was just looking at my ceiling. Not sure if it’s the best ceiling in the world, but it’s definitely up there."
DIeFtkVvHlb,Why do valley girls hang out in odd numbered groups? Because they can't even.
DIeaUDlbUDd,“My Dog has no nose.” “How does he smell?” “Awful”
DImrciqWSCd,What do you call a cow with no legs? Ground beef.
DY8UvkqHexc,Why did the half blind man fall in the well? Because he couldn't see that well!
DYLukyIY8Ed,"As I suspected, someone has been adding soil to my garden. The plot thickens."
Dd2EY018Me,What do bees do after they are married? They go on a honeymoon.
Dt4hNJJmykb,"It’s hard to explain puns to kleptomaniacs, because they take everything literally."
DtWSnydN7h,"It's difficult to say what my wife does, she sells sea shells by the sea shore."
DtcaMmWDImb,Why did Dracula lie in the wrong coffin? He made a grave mistake.
EBAsPfiNuzd,What did one plate say to the other plate? Dinner is on me!
EBQfiyXD5ob,what do you call a dog that can do magic tricks? a labracadabrador
EIJmGY8Etrc,"Doctor: Do you want to hear the good news or the bad news?
Patient: Good news please.
Doctor: we're naming a disease after you."
EQKZDIeah,Atheism is a non-prophet organisation.
EYo4TCAdUf,"I tried to write a chemistry joke, but could never get a reaction."
EYojGtPRusc,"I gave my friend 10 puns hoping that one of them would make him laugh. Sadly, no pun in ten did."
EYoz51DtHtc,What do computers and air conditioners have in common? They both become useless when you open windows.
EdpjyXSfNCd,"What do you call a monkey in a mine field? A babooooom!
"
ElbaF6wHlyd,I cut my finger cutting cheese. I know it may be a cheesy story but I feel grate now.
ElyXS0gFBAd,How do you steal a coat? You jacket.
EtzscNuk3Ed,"Why don't you find hippopotamuses hiding in trees?
They're really good at it."
F6wPR71Dtzd,I’m reading a book on the history of glue – can’t put it down.
FBQ7wskbMmb,"Want to hear a joke about construction? Nah, I'm still working on it."
FBQK6MexPuc,"My friend told me that pepper is the best seasoning for a roast, but I took it with a grain of salt."
FBskq4MRnrc,Just watched a documentary about beavers… It was the best damn program I’ve ever seen.
FIY8992wskb,Why do choirs keep buckets handy? So they can carry their tune
FImyA5EIBAd,"Did you hear about the kidnapping at school? It's ok, he woke up."
FYTv41LmbFd,You will never guess what Elsa did to the balloon. She let it go.
FYobM71o4ob,Did you hear about the two thieves who stole a calendar? They each got six months.
FdN7hiG6Uvc,Why can't eggs have love? They will break up too soon.
FdN7przPCtc,"You can't run through a camp site. You can only ran, because it's past tents."
FdN7wcxAskb,They're making a movie about clocks. It's about time
FdNZTnWvHBd,"I’ve just been reading a book about anti-gravity, it’s impossible to put down!"
FdxHeiqjqzd,Archaeology really is a career in ruins.
FtHBXvXL6h,"I was going to get a brain transplant, but I changed my mind"
G6EtkOZD5h,"Why can't you use ""Beef stew"" as a password? Because it's not stroganoff."
G6pr4EQfiqc,What did the piece of bread say to the knife? Butter me up.
GBscNZg3gib,"Why couldn't the lifeguard save the hippie? He was too far out, man."
GQuzAAXgah,"Some people say that I never got over my obsession with Phil Collins.
But take a look at me now."
GYDY8xXLmyd,Why did the girl smear peanut butter on the road? To go with the traffic jam.
GYTCA5TKZvc,It takes guts to be an organ donor.
GeFQZ89h,The rotation of earth really makes my day.
GlGBIY0wAAd,How much does a hipster weigh? An instagram.
GlbxXg3TClb,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, ‘First offender?’ She says, ‘No, first a Gibson! Then a Fender!’"
GlbxkyPRKuc,"I saw an ad in a shop window, ""Television for sale, $1, volume stuck on full"", I thought, ""I can't turn that down""."
GtH6E6UD5Ed,What kind of dog lives in a particle accelerator? A Fermilabrador Retriever.
H6Elb2LBdxc,What's blue and not very heavy?  Light blue.
H6pWvHQKJe,"Guy told me today he did not know what cloning is. I told him, ""that makes 2 of us."""
HBszX8MJ6h,"I was so proud when I finished the puzzle in six months, when on the side it said three to four years."
HJJY0LR7hyd,Where did you learn to make ice cream? Sunday school.
HQZorO7pWnb,"Coffee has a tough time at my house, every morning it gets mugged."
HQfNZDIRSnb,A quick shoutout to all of the sidewalks out there... Thanks for keeping me off the streets.
HQuXvkjqcpb,Where does Napoleon keep his armies? In his sleevies.
HY8xHeiNeFd,Leather is great for sneaking around because it's made of hide.
HYgiVDAscFd,People are making apocalypse jokes like there’s no tomorrow.
HYoGYTvX0g,What is the tallest building in the world? The library – it’s got the most stories!
HeaFdiyIJe,What kind of magic do cows believe in? MOODOO.
HeiqcaMRKBd,What’s the longest word in the dictionary? Smiles. Because there’s a mile between the two S’s.
HlbFQ71wkyd,"I just broke my guitar. It's okay, I won't fret"
Ht49xX8xXDd,It's only a murder of crows if there's probable caws.
HtcNuHJBQCd,How many kids with ADD does it take to change a lightbulb? Let's go ride bikes!
I6h3ozAIYDd,Where do hamburgers go to dance? The meat-ball.
IBszdxXDAsc,I invented a new word! Plagiarism!
IJBA51Tvcxc,Did you know that ghosts call their true love their ghoul-friend?
IJBAsrrzPmb,What do you call a cow with two legs? Lean beef.
IJYvcFIBAlb,"What did the big flower say to the littler flower? Hi, bud!"
IRKJBQ7p4wc," I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.

"
IRZDtWSnWDd,"Why do pumpkins sit on people’s porches?

They have no hands to knock on the door."
IRuX8U8EImb,Who is the coolest Doctor in the hospital? The hip Doctor!
IYT082EQukb,Why was ten scared of seven? Because seven ate nine.
IYgiyIR7hib,What do you get when you cross a rabbit with a water hose? Hare spray.
IeiyIRSnbxc,"I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position."
IexXD5TnGBd,"I knew a guy who collected candy canes, they were all in mint condition"
It4Etrjiqrc,Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.
ItWLR792Ed,"""I'll call you later."" Don't call me later, call me Dad."
ItWSnbUfVnb,Why did the teddy bear say “no” to dessert? Because she was stuffed.
JBIBImbMe,Did you hear the one about the giant pickle?  He was kind of a big dill.
JBs4T79Edpb,Breaking news! Energizer Bunny arrested – charged with battery.
JJ61L61Lusc,How many bones are in the human hand? A handful of them.
JeF69xAQSnb,A red and a blue ship have just collided in the Caribbean. Apparently the survivors are marooned.
JeVDI6EBIe,"I've just written a song about a tortilla. Well, it is more of a rap really."
JeaxXvkyPf,"Can February march? No, but April may."
JmGtkyIJeqc,So a duck walks into a pharmacy and says “Give me some chap-stick… and put it on my bill”
JmjbxkGJBAd,"Egyptians claimed to invent the guitar, but they were such lyres.﻿"
JtcxXS0ozAd,Toasters were the first form of pop-up notifications.
K6UKmykqrjb,What is a witch's favorite subject in school? Spelling!
K6USKBXvcib,What do you call a crowd of chess players bragging about their wins in a hotel lobby? Chess nuts boasting in an open foyer.
K6UvXD5Mexc,Which side of the chicken has more feathers? The outside.
KBsWnO711Dd,"Remember, the best angle to approach a problem from is the ""try"" angle."
KBsrz5ws4Ed,Why are fish easy to weigh? Because they have their own scales.
KJJtPuPKJe,"What did the scarf say to the hat? You go on ahead, I am going to hang around a bit longer."
KJmW8h3oWnb,Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
KJmrOKeNexc,"This morning I was wondering where the sun was, but then it dawned on me."
KZDtkG6pjqc,Writing with a broken pencil is pointless.
KeqOmOZDYDd,Why is it so windy inside an arena? All those fans.
KmW8hFlV0ob,"A panda walks into a bar and says to the bartender “I’ll have a Scotch and . . . . . . . . . . . . . . Coke thank you”. 

“Sure thing” the bartender replies and asks “but what’s with the big pause?” 

The panda holds up his hands and says “I was born with them”"
L6UnyP7Unyd,"“Doctor, I’ve broken my arm in several places” Doctor “Well don’t go to those places.”"
LB5wHQSvzAd,"Where was the Declaration of Independence signed?

At the bottom! "
LBAQ79MJmb,What’s the difference between an African elephant and an Indian elephant? About 5000 miles.
LBdUvcFB5h,Two peanuts were walking down the street. One was a salted
LRf2obFBskb,"Don’t interrupt someone working intently on a puzzle. Chances are, you’ll hear some crosswords."
LRnGeVfiNe,Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water.
Lmjqzsr49pb,What did the Zen Buddist say to the hotdog vendor? Make me one with everything.
LuciNmbaMmb,"What did the digital clock say to the grandfather clock? Look, no hands!"
M7EBXgVSCAd,"A weasel walks into a bar. The bartender says, ""Wow, I've never served a weasel before. What can I get for you?""
""Pop,"" goes the weasel."
M7ElyAQCAd,How was the snow globe feeling after the storm? A little shaken.
M7wPC5wPKBd,Did you hear the one about the guy with the broken hearing aid? Neither did he.
MCImjqrWvzd,Did you hear about the campsite that got visited by Bigfoot? It got in tents.
MCYLZ0wAsc,I saw a documentary on TV last night about how they put ships together.  It was rivetting.
MCt4wX8pb,What did the Red light say to the Green light? Don't look at me I'm changing!
MJB511wAXvc,What did the ocean say to the beach? Thanks for all the sediment.
MRC5hNCAXg,"What did the left eye say to the right eye? Between us, something smells!"
MRZ0LJtHQCd,What do you call a fly without wings? A walk.
MZ82EIB5hFd,Why did the melons plan a big wedding? Because they cantaloupe!
MZDtW0gi3g,"Yesterday I confused the words ""jacuzzi"" and ""yakuza"". Now I'm in hot water with the Japanese mafia."
MZga2gFlysc,"What is the least spoken language in the world?
Sign Language"
MZoOCQ7wcpb,What do birds give out on Halloween? Tweets.
MZvsrzXgyd,"I used to think I was indecisive, but now I'm not sure."
Me2wAAl31wc,Velcro… What a rip-off.
MeaFYLBAQuc,"Have you heard the rumor going around about butter? Never mind, I shouldn't spread it."
N7pWvcxsHBd,What happens to a frog's car when it breaks down? It gets toad.
NCAIYLeNe,"I fear for the calendar, its days are numbered.
"
NCQfqHYgaFd,"I'm glad I know sign language, it's pretty handy."
NJBl3TnrHlb,"The other day, my wife asked me to pass her lipstick but I accidentally passed her a glue stick. She still isn't talking to me."
NJJ6wH6hNCd,What do you get when you cross a chicken with a skunk? A fowl smell!
NRuHJYgaUDd,"How many hipsters does it take to change a lightbulb? Oh, it's a really obscure number. You've probably never heard of it."
NZDlb299Uf,Where do sheep go to get their hair cut? The baa-baa shop.
NmbFtH69hFd,"Our wedding was so beautiful, even the cake was in tiers."
NmjNJJR7wc,Why did the miner get fired from his job? He took it for granite...
NucUfVvXLBd,"What did the hat say to the scarf?
You can hang around. I'll just go on ahead.
"
O7haxA5Tfxc,"Where do cats write notes?
Scratch Paper!"
OCtWnGJtPuc,Why is the new Kindle screen textured to look like paper? So you feel write at home.
ORK6UDA5hqc,"When my wife told me to stop impersonating a flamingo, I had to put my foot down."
OZLuP7UDtkb,"What’s the advantage of living in Switzerland? Well, the flag is a big plus."
OfNmyI6Ed,Why did the cookie cry? It was feeling crumby.
P71TnyI6prc,Me and my mates are in a band called Duvet. We're a cover band.
PC5TCQuXnrc,Where do you learn to make banana splits? At sundae school.
PRZ8xHtcprc,"Nurse: Doctor, there's a patient that says he's invisible. Doctor: Well, tell him I can't see him right now!"
PZDAXL6pOCd,What was a more important invention than the first telephone? The second one.
PZgyPmjb2ob,What do you get when you cross a snowman with a vampire? Frostbite.
PfaMusPucFd,What do you do when your bunny gets wet? You get your hare dryer.
PmyXSfxHBd,Did you know crocodiles could grow up to 15 feet? But most just have 4.
PucUvXSvkqc,"Why did the fireman wear red, white, and blue suspenders? To hold his pants up."
PuskbxcpWnb,"In the news a courtroom artist was arrested today, I'm not surprised, he always seemed sketchy."
Q7pGY0Dt4Ed,What do you call someone with no nose? Nobody knows.
QKJR79EIYDd,What do you call a girl between two posts? Annette.
Qn31o49Musc,What do you call a fat psychic? A four-chin teller.
Qn3EIRZorrc,"I used to be a banker, but I lost interest."
QnWnWSfiqc,Why can't a bicycle stand on its own? It's two-tired.
QuscibaMClb,What does a pirate pay for his corn? A buccaneer!
Qusrcahiib,Astronomers got tired watching the moon go around the earth for 24 hours. They decided to call it a day.
R7UfaahVfFd,My dog used to chase people on a bike a lot. It got so bad I had to take his bike away.
R7hFtWv49h,I ate a clock yesterday. It was so time consuming.
RC51wcNRClb,Two dyslexics walk into a bra.
RCQKuHJBdib,I been watching a channel on TV that is strictly just about origami — of course it is paper-view.
RSvzPuzAdpb,Milk is also the fastest liquid on earth – its pasteurized before you even see it
RZv4h3gV0g,Is the pool safe for diving? It deep ends.
RfiGei3E6Ed,Why do scuba divers fall backwards into the water? Because if they fell forwards they’d still be in the boat.
RuHYTSvzsrc,My wife told me to rub the herbs on the meat for better flavor. That's sage advice.
S0TvXvzPfFd,A man was caught stealing in a supermarket today while balanced on the shoulders of a couple of vampires. He was charged with shoplifting on two counts. 
S7MCtHBQuc,Ben & Jerry's really need to improve their operation. The only way to get there is down a rocky road.
S7wHQKJe2wc,How are false teeth like stars? They come out at night!
SKeqOucNeFd,What time did the man go to the dentist? Tooth hurt-y.
SSCQCdi39Ed,Did you hear about the cheese factory that exploded in France? There was nothing left but de Brie.
SSnW8xsrrjb,How does a penguin build it’s house? Igloos it together.
Sn39Elb2LBd,What is this movie about? It is about 2 hours long.
SnOf2gqjiqc,Why are pirates called pirates? Because they arrr!
SnrcpbhVKBd,Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
SvPRCIeiNuc,How does a dyslexic poet write? Inverse.
SvXDImbMe,Don't tell secrets in corn fields. Too many ears around.
SvzIBAQS0Dd,What did the pirate say on his 80th birthday? Aye Matey!
TC5TCt49prc,Why did the A go to the bathroom and come out as an E? Because he had a vowel movement.
TCA59hiiVvc,Yesterday a clown held a door open for me. I thought it was a nice jester.
TCY0LmGQnb,Why did the opera singer go sailing? They wanted to hit the high Cs.
TKZD592LZob,"Never Trust Someone With Graph Paper...

They're always plotting something."
TKmbUDI6UDd,What do you call an elephant that doesn’t matter? An irrelephant.
TS0gFlqr4ob,What do you call a group of disorganized cats? A cat-tastrophe.
TS7U0oWnjyd,What is bread's favorite number?  Leaven.
TSfFYT7EBd,Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
TfVvX0wscib,How do you know if there’s an elephant under your bed? Your head hits the ceiling!
TvPf2gyAdxc,"Why does Norway have barcodes on their battleships? So when they get back to port, they can Scandinavian."
TvPfV8prOuc,"What's the worst part about being a cross-eyed teacher?

They can't control their pupils."
Tvcah31oWvc,What do you call a fashionable lawn statue with an excellent sense of rhythmn? A metro-gnome
TvzdxXSCdFd,Someone broke into my house last night and stole my limbo trophy. How low can you go?
UKeFB59EQf,Why did the coffee file a police report? It got mugged.
UKeiNeVnrc,"Mountains aren't just funny, they are hill areas"
UKuXvzAlOuc,"I was going to learn how to juggle, but I didn't have the balls."
