,OBJECTID,PANTHERID,SEX,AGE,LOCATION,CAUSE,YEAR,Date,last_edited_date,CauseLong,PANTHERID2,MORTID,AGE_UNITS,month,lon,lat,year
18,1758,UCFP406,Male,2.5,Daniels Pkwy 1.5 mi E of I-75,Vehicular trauma,2021,2021-07-09 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01176,Years,7,-81.771107668865,26.546779593979387,2021
19,1759,UCFP405,Male,2,"SR29, 2miles south of I75",Vehicular trauma,2021,2021-06-04 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01175,Years,6,-81.34482090127527,26.115102931073338,2021
20,1760,UCFP404,Female,4.5,Church Rd. just south of Hendry County Landfill.,Vehicular trauma,2021,2021-06-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01174,Years,6,-81.52131187837188,26.55769949752235,2021
21,1761,UCFP403,Male,2,SR29. 3/4 mile north of US41.,Vehicular trauma,2021,2021-05-27 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01173,Years,5,-81.35882951098851,25.919845950500296,2021
22,1762,UCFP402,Female,3.5,"CR846, 1km west of County Line Road",Vehicular trauma,2021,2021-05-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01172,Years,5,-81.28235155964924,26.422547402278635,2021
23,1763,K504,Female,1.5,I75 mile marker 132,Vehicular trauma,2021,2021-04-12 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01171,Years,4,-81.79394371115988,26.55963740785234,2021
24,1764,UCFP401,Female,1,Immokalee Rd. 2.75 mi east of Oil Well Grade Rd,Vehicular trauma,2021,2021-04-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01168,Years,4,-81.47752265093952,26.366797388654717,2021
25,1765,K518,Male,3,Pasture at the east end of 16th Ave SW and to the south,Malnutrition,2021,2021-04-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Malnutrition,,MN-01167,Months,4,-81.62749552613892,26.19819482537878,2021
26,1766,K516,Female,3,Pasture at the east end of 16th Ave SW and to the south,Malnutrition,2021,2021-04-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Malnutrition,,MN-01166,Months,4,-81.62749552613892,26.19819482537878,2021
27,1767,FP257,Female,7,Chamberlain Pkwy just S of Daniels Pkwy,Vehicular trauma,2021,2021-03-25 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01165,Years,3,-81.77343703093945,26.540853186421245,2021
28,1768,UCFP400,Male,1.5,Southbound lanes of I-75 on south shoulder.  Located just east of MM94.,Vehicular trauma,2021,2021-03-21 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01164,Years,3,-81.56714347590832,26.15286515676297,2021
29,1769,K517,Male,70,Private property between Collier County property (formerly Hussey) and American Farms.,Unknown,2021,2021-03-19 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01170,Days,3,-81.6344424856919,26.17803807278155,2021
30,1770,UCFP399,Male,4.5,SR62 in NW Hardee County.   Located 2.2 km east of the junction with Brewster Rd.,Vehicular trauma,2021,2021-03-10 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01163,Years,3,-81.92251555512007,27.59483095008812,2021
31,1771,UCFP398,Female,7,"SR82, 950 m SE of Daniels Pkwy, in the new median.",Vehicular trauma,2021,2021-02-13 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01160,Years,2,-81.70511360486374,26.57797256316981,2021
32,1772,UCFP397,Male,5,5.1 km N of Big Cypress SIR Air Field,ISA,2021,2021-02-01 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01159,Years,2,-80.97851148672964,26.37167318384765,2021
33,1773,UCFP396,Male,2,SR82 east of Rod and Gun Club Rd,Vehicular trauma,2021,2021-01-21 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01158,Years,1,-81.69473438922265,26.57358143481326,2021
34,1774,UCFP395,Male,2,"Was located on County Road 74 in Glades County, 3.2km west of the junction with SR29.  Panther was found between the barbed wire fence and shoulder of the road.",ISA,2021,2021-01-11 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01156,Years,1,-81.35133129127829,26.929304614281453,2021
35,1775,UCFP394,Female,2,SR29 1km north of CR858,Vehicular trauma,2021,2021-01-04 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01155,Years,1,-81.34287173497516,26.313630063965007,2021
36,1776,UCFP393,Female,3,"Terminal Access Road to RSW, east bound lanes.  Panther pulled itself into woods on south side of road after collision.  Occurred 1km east of Treeline Avenue intersection.",Vehicular trauma,2021,2021-01-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01154,Years,1,-81.77448627127613,26.511729926122687,2021
37,1777,UCFP392,Male,3,Oil Well Grade Rd.,Vehicular trauma,2020,2020-12-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01153,Years,12,-81.4952155911961,26.317762768457527,2020
38,1778,UCFP391,Male,2,"I-75, MM97",Vehicular trauma,2020,2020-12-25 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01152,Years,12,-81.61704308792069,26.153851898656946,2020
39,1779,UCFP390,Male,2,"SR80 6 mi east of Labelle, bridge of underpass",Vehicular trauma,2020,2020-12-01 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01151,Years,12,-81.32409969617846,26.768496310953743,2020
40,1780,UCFP389,Male,9,"Corkscrew Road, 500m E of TPI Road",Vehicular trauma,2020,2020-11-18 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01150,Months,11,-81.59011066235321,26.450799419393867,2020
41,1781,UCFP388,Male,3.5,"CR846, 5.6km west of County Line Road.  Carcass was located within 10 feet of the west end of the wildlife underpass fencing.",Vehicular trauma,2020,2020-09-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01149,Years,9,-81.32806104379922,26.419172230757262,2020
42,1782,UCFP387,Female,3,"CR832 (Keri Rd.), 350m west of the entrance to Wild Cow Grade on OK Slough State Forest",Vehicular trauma,2020,2020-08-12 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01146,Years,8,-81.30344311318824,26.5837739195511,2020
43,1783,UCFP386,Female,4,"SR82 and Homestead Rd, just south of Lehigh Acres. Major construction zone. Family group made several crossing/attempts since heavy rains last night. Large waist-high concrete barrier set up inches from the road that panthers were forced to leap over.",Vehicular trauma,2020,2020-07-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01145,Months,7,-81.62369934546122,26.53383117070622,2020
44,1784,UCFP385,Female,1.17,Southbound lanes of CR951.  Hit approximately 140m north of the junction with The Lords Way.,Vehicular trauma,2020,2020-05-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01143,Years,5,-81.68708948271136,26.118302466892114,2020
45,1785,UCFP384,Male,7,17km east of Labelle on SR80.  South of Long Hammock near bridge over canal that feeds into Caloosahatchee River near Ortona Locks.  Location was 2.5km south of the River.,Vehicular trauma,2020,2020-05-11 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01142,Years,5,-81.27122163629826,26.76829136313581,2020
46,1786,UCFP383,Male,2,"East end of White Boulevard, first driveway east of the canal on north side of road.  Located just at the location where White Blvd curves south and turns into 23rd St SW.  Found 14m off the road in brush just east of driveway.",Vehicular trauma,2020,2020-05-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01141,Years,5,-81.65435109813889,26.212910221095726,2020
47,1787,FP259,Male,2.5-3,CR846. 5 miles east of SR29,Vehicular trauma,2020,2020-05-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01140,Years,5,-81.32584492155287,26.419195356046107,2020
48,1788,FP192,Female,10,14km north of Hwy 41 at Oasis Visitor Center and 24km east of Turner River Rd junction of Upper Wagonwheel rd,ISA,2020,2020-03-20 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,K287,MN-01148,Years,3,-81.02564203469223,25.995488977123298,2020
49,1789,UCFP382,Female,1.5,CR846. 3 miles west of County Line Rd (CR858).  Near wildlife underpass.,Illegal kill,2020,2020-03-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Illegal kill,,MN-01147,Years,3,-81.31939785020099,26.419534952530313,2020
50,1790,UCFP381,Male,3,SR80 by future C-43 reservoir.,Vehicular trauma,2020,2020-03-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01139,Years,3,-81.50110696471323,26.715506051673678,2020
51,1791,UCFP380,Male,,SR29 4 miles SE of Immokalee,Vehicular trauma,2020,2020-02-19 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01138,Years,2,-81.35933947559215,26.374203595470703,2020
52,1792,UCFP379,Male,3.5,CR846 near Dupree Grade,Vehicular trauma,2020,2020-02-19 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01137,Years,2,-81.35242803362888,26.41883435403093,2020
53,1793,UCFP378,Male,1.75,Panther was hit right adjacent to an entry into the grove on the north side of SR82.  Carcass located on north side of SR82,Vehicular trauma,2020,2020-01-27 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01135,Years,1,-81.52037246157023,26.507474782686305,2020
54,1794,UCFP377,Female,1,SR82 approx 750m from 850 Junction (Corkscrew Rd),Vehicular trauma,2020,2020-01-21 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01134,Years,1,-81.51055687229459,26.505009207635975,2020
55,1795,UCFP374,Female,3,"SR 29 0.25 miles north of stoplight for Farmworker Village, Immokalee",Vehicular trauma,2020,2020-01-09 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01131,Years,1,-81.39621034133859,26.40718945657163,2020
56,1796,UCFP376,Male,3.5,970 m south of the South Scenic Highway on east side of the CSX train tracks.  South Scenic Highway runs NS between Frostproof and US27.,Other,2020,2020-01-04 05:00:00+00:00,2022-05-02T15:27:17+00:00,Other,,MN-01133,Years,1,-81.54467038442925,27.67364301273466,2020
57,1797,UCFP373,Female,2,"Corner of Felda Church Rd and David C. Brown Rd. North of Felda, West of SR29",Vehicular trauma,2020,2020-01-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01130,Years,1,-81.45759254450272,26.55868582933679,2020
58,1798,UCFP375,Female,,"Hendry County Road 833, ~60 meters south of Dinner Island Cow Pens gate .",Vehicular trauma,2020,2020-01-01 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01132,Years,1,-81.12689095273596,26.558614658135543,2020
59,1799,UCFP372,Female,11,Carcass located just off pavement of east bound lanes of I75 on right shoulder just west of MM82.5.,Vehicular trauma,2019,2019-12-30 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01129,Months,12,-81.39137801326947,26.153621577865014,2019
60,1800,UCFP371,Female,3.5,CR832 in Okaloacoochee Slough State Forest,Vehicular trauma,2019,2019-11-14 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01127,Months,11,-81.32172121332596,26.5913543053206,2019
61,1801,UCFP370,Male,2.5,Church Rd.  2.25 mi north of SR82.,Vehicular trauma,2019,2019-11-13 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01126,Years,11,-81.53106302520398,26.542973409980423,2019
62,1802,UCFP369,Female,2.25,Owl Hammock Curve in northbound lane of SR29.  At entrance to Harker Pasture on Immokalee Ranch.,Vehicular trauma,2019,2019-11-06 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01125,Months,11,-81.34497541869067,26.36085749760893,2019
63,1803,UCFP368,Male,3.5,"26.98417529, -80.41320794  
Hwy 710 (Beeline) about two miles south of Indiantown, east coast",Vehicular trauma,2019,2019-11-02 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01124,Years,11,-80.41321513878945,26.984173009434695,2019
64,1804,UCFP367,Female,4.5,Orange grove SE of old Hendry County Prison,Vehicular trauma,2019,2019-11-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01123,Months,11,-81.2367757484068,26.291108347691008,2019
65,1805,UCFP366,Male,3.5,Carcass located on east side of SR29; 700m south of the Felda Store.,Vehicular trauma,2019,2019-10-31 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01122,Years,10,-81.43529190171043,26.536950625250416,2019
66,1806,UCFP365,Male,2.5,I75 southbound at mile marker 120,Vehicular trauma,2019,2019-10-05 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01119,Years,10,-81.77301457032931,26.39659370592625,2019
67,1807,UCFP364,Female,4,"in woods at SW corner of 26th 
Ave SE and Everglades Blvd.",Vehicular trauma,2019,2019-09-24 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01115,Months,9,-81.44422779598115,26.183382955366366,2019
68,1808,UCFP363,Female,2,SR80. 10.25 miles east of LaBelle (SR29),Vehicular trauma,2019,2019-09-02 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01111,Years,9,-81.27220738730394,26.768298502160516,2019
69,1809,UCFP362,Female,,"CR846, 3 miles west of Duck Curve",Vehicular trauma,2019,2019-08-15 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01106,Years,8,-81.17499691029865,26.428353356415283,2019
70,1810,UCFP361,Female,11,"Lehigh Acres. SR82, 300 ft east of Homestead Rd.",Vehicular trauma,2019,2019-07-26 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01105,Months,7,-81.62039182853516,26.532879510655114,2019
71,1811,UCFP359,Female,fetus,"Golden gate Blvd, east bound,near 9th ave NW.",Vehicular trauma,2019,2019-07-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01103,Years,7,-81.62691362175237,26.229691432200102,2019
72,1812,UCFP360,Male,fetus,"Golden Gate Blvd, close to 9th ave NW, east bound",Vehicular trauma,2019,2019-07-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01104,Years,7,-81.62691362175237,26.229691432200102,2019
73,1813,UCFP358,Female,5,"on sidewalk (appears to have been pulled off the road), east bound",Vehicular trauma,2019,2019-07-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01102,Years,7,-81.62691362175237,26.229691432200102,2019
74,1814,UCFP357,Female,1.5,Found on south side of SR82 at the junction with Alabama Road.  This is 2.5km east of Wild Turkey Strand Preserve where a similar aged male panther was HBC on 21 May 2019 (UCFP355),Vehicular trauma,2019,2019-07-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01101,Years,7,-81.6624712017574,26.559406465994993,2019
75,1815,UCFP356,Female,5,"East of Gopher Ridge Rd, 6km east of Immokalee.",ISA,2019,2019-06-27 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01100,Years,6,-81.35480830323047,26.442954535684564,2019
76,1816,UCFP355,Male,1.8,"SR82 Lehigh to south, preserve to north. Across from Conservation 2020 land - Wild Turkey Strand Preserve",Vehicular trauma,2019,2019-05-21 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01086,Years,5,-81.69257008629346,26.572671043140577,2019
77,1817,UCFP354,Male,5.5,"On CR 833, 3 miles east of CR 846.",Vehicular trauma,2019,2019-04-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01081,Months,4,-81.07683512369567,26.45988885500397,2019
78,1818,UCFP353,Female,1.5,CR846 2 miles W of County Line Rd,Vehicular trauma,2019,2019-04-14 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01077,Years,4,-81.30592636745062,26.421884923014378,2019
79,1819,UCFP352,Male,4,SR80 west of Labelle.  Hit just east of bridge crossing creek.  Carcass was approx. 820 m west of junction with Murray Rd.,Vehicular trauma,2019,2019-03-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01034,Years,3,-81.50363088211529,26.713321187339435,2019
80,1820,UCFP351,Male,7,"SR82, westbound lanes, 390m west of intersection with Corkscrew Road",Vehicular trauma,2019,2019-03-24 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01009,Months,3,-81.52147761215188,26.5077506461499,2019
81,1821,UCFP350,Male,2,CR846 3.25km west of County Line Rd,Vehicular trauma,2019,2019-03-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01010,Years,3,-81.30475347221845,26.42204092505158,2019
82,1822,UCFP349,Male,2,GG Blvd approximately 100 ft. E of 7th St SW.,Vehicular trauma,2019,2019-02-19 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01011,Years,2,-81.62015529673094,26.229576282752685,2019
83,1823,FP220,Female,12,Big Cypress National Preserve; Turner River Unit; 3 km east of junction of Turner River Road,Unknown,2019,2019-02-15 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,K228,MN-01091,Years,2,-81.23291274564838,25.99040053661683,2019
84,1824,UCFP348,Male,9,Duda Orange Grove 6.8km NNE of Hendry Cty Landfill.  N. of Townsend Canal.,ISA,2019,2019-02-11 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01012,Months,2,-81.50120742510809,26.63502293304936,2019
85,1825,UCFP347,Female,8,DeSoto Blvd between 4th and 6th Aves SE.  GGE.,Vehicular trauma,2019,2019-02-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01013,Months,2,-81.51491173770536,26.22210018140424,2019
86,1826,UCFP346,Male,3,"Hit in westbound lane of SR80, approx 1.8 km east of the junction with Wellington Pkwy.",Vehicular trauma,2019,2019-01-30 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01014,Years,1,-81.27596970778362,26.76848083146364,2019
87,1827,UCFP345,Male,4.5,300 m. North of 14th Av NE along canal to the west of Everglades Blvd.,ISA,2018,2018-12-29 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01015,Months,12,-81.56092666701826,26.25859598227575,2018
88,1828,UCFP344,Female,9,"Felda.  Church Rd, about 2 mi west of SR29.",Vehicular trauma,2018,2018-12-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01016,Years,12,-81.46741700733672,26.557525318785228,2018
89,1829,FP251,Male,1.6,Immokalee rd 1.2km north of Jones Mining Rd,Vehicular trauma,2018,2018-12-07 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01098,Years,12,-81.59479742651537,26.33781726968059,2018
90,1830,FP250,Male,2.9,Private property  in Bell Mead; ~ 1 km west off of Ken Luck Drive.,ISA,2018,2018-11-05 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01097,Years,11,-81.5978817920434,26.163314223089298,2018
91,1831,UCFP342,Male,4,5.1km west of Duck Curve on CR846,Vehicular trauma,2018,2018-10-17 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01018,Months,10,-81.17817612354762,26.428394576400684,2018
92,1832,UCFP343,Male,2,"Daniel's Parkway, 4km SW of SR82; just north of Ft Myers International Airport.",Vehicular trauma,2018,2018-10-17 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01017,Years,10,-81.74448405534612,26.55903766868835,2018
93,1833,UCFP340,Female,4,"On CR833, 1/3 mi east of CR846",Vehicular trauma,2018,2018-10-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01020,Months,10,-81.11864614139647,26.459155966360562,2018
94,1834,UCFP341,Male,4,"On CR833, 1/3 mi east of CR846",Vehicular trauma,2018,2018-10-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01019,Months,10,-81.11864614139647,26.459155966360562,2018
95,1835,UCFP339,Male,5,"SR29, north of Immokalee.  1/3 mi north of SR29/29A intersection.",Vehicular trauma,2018,2018-10-07 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01021,Years,10,-81.43400090586617,26.447142227236796,2018
96,1836,UCFP221,Male,6,Naples Zoo,Other,2018,2018-09-17 04:00:00+00:00,2022-05-02T15:27:17+00:00,Other,,MN-01071,Years,9,-81.7895975719838,26.170336168344576,2018
97,1837,UCFP338,Female,4,CR846 at the intersection with Wild Turkey Drive.  Northbound lane,Vehicular trauma,2018,2018-09-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01022,Years,9,-81.59537658654872,26.351123808282633,2018
98,1838,UCFP336,Female,2,"Naples Zoo, in enclosure just east of Gate 3",Unknown,2018,2018-08-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01024,Months,8,-81.7895975719838,26.170336168344576,2018
99,1839,UCFP337,Female,5,"County Road 832, 2.4km west of the junction with CR833",Vehicular trauma,2018,2018-08-25 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01023,Years,8,-81.15148195275304,26.60637269334983,2018
100,1840,FP252,Male,14,"Golden Gate Blvd between 15th and 17th St SW, south side of road",Vehicular trauma,2018,2018-08-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01099,Months,8,-81.63879486546428,26.229268920729606,2018
101,1841,K430,Male,4,"On north edge of Stewart Blvd, approx 160m west of the Miller Canal Bridge",Vehicular trauma,2018,2018-07-21 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01085,Years,7,-81.555842276172,26.0543705933726,2018
102,1842,UCFP335,Male,2,SR29 3.7 km south of CR858,Vehicular trauma,2018,2018-06-25 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01025,Years,6,-81.3420307753253,26.269451221508596,2018
103,1843,UCFP334,Male,9,CR833 0.2km north of CR832,Vehicular trauma,2018,2018-06-20 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01026,Months,6,-81.12743796476023,26.608346536534484,2018
